ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
སྐྱེ་གནས་བཞི|Four modes of birth
དྲོད་གཤེར་ལས་སྐྱེས|Birth from heat and moisture
སྔོན་གྱི་གནས་རྣམ་པ་དུ་མ་རྗེས་སུ་དྲན་པ་དང་སེམས་ཅན་རྣམས་ཀྱི་འཆི་འཕོ་དང་སྐྱེ་བ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge of the recollection of multiple past abodes, and of the transference of consciousness at the death and birth of all sentient beings
དྲོད་གཤེར་ལས་སྐྱེས|Birth from heat and moisture
ལྷན་ཅིག་སྐྱེས་པའི་ལྷ|Birth totem gods
མི་སྐྱེ་བ|Birthlessness
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|Tolerance of ultimate birthlessness
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|Tolerance of the birthlessness of things
ཤ་སྦྲང|Biting insect
ཨིཎྜ་བཱརུ་ཎཱི|Bitter cucumber
མི་གཡོ་བ་ནག་པོ|Black Acala
ཨ་ག་རུ་ནག་པོ|Black agar wood
ཨ་ག་རུ་ནག་པོ|Black aloe wood
ལྷུང་བཟེད་ནག་པ་ཅན|Black begging bowl carriers
ས་ནག་པོ|Black earth
ཀ་མ་ཅི|Black nightshade
ཀ་མ་རྩ|Black nightshade
མུཎྜ་རི|Black nightshade
ཕོ་བ་རིས|Black pepper
བྱི་ཏང་ཀ|False black pepper
བི་ཌཾ་ག|False black pepper
ཛམ་བུ|Black plum
བཅོམ་ལྡན་འདས་མ|Blessed Lady
བཅོམ་ལྡན་འདས|Blessed One
བཅོམ་ལྡན་འདས|Blessed One
བཅོམ་ལྡན་འདས|Blessed One
བཅོམ་ལྡན་འདས|Blessed One
བཅོམ་ལྡན་འདས|Blessed One
བཅོམ་ལྡན་འདས|Blessed One
བདེ་བ|Bliss
གསང་བ་བདེ་སྐྱོང|Secret Guardian of Bliss
བདེ་བར་གཤེགས་པ|Bliss-Gone One
བདེ་བ་ཅན|Realm of Bliss
ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བདེ|Joy and bliss that arise from meditative stability
བདེ་བར་གཤེགས་པ|Bliss-Gone One
བདེ་བར་གཤེགས་པ|Blissful One
སྟོབས་ཀྱིས་རྒྱགས|Bloated with Power
ཁྲག་ནད|Blood disorders
རྩ་རྣམས་མི་མངོན་པ|Blood vessels and nerves are inconspicuous
དགེ་བའི་མེ་ཏོག་རྒྱས་ཤིང་དག་པ|Blossoming and Purity of the Flowers of Virtue
སྔོན་པོར་ལྟ་བུར་སྟོན་པ|Blue appearance
ཨུད་པ་ལ|Blue lotus
ཨུད་པ་ལ|Blue lotus
ཨུད་པལ|Blue lotus
ཨུཏྤལ|Blue lotus
ཨུད་པལ|Blue lotus
ཨུཏ་པལ|Blue lotus
འོད་སྔོན་པོའི་འབྱུང་བ|Blue reflection
བྱང་ཆུབ|Bodhi
བྱང་ཆུབ|Bodhi
བྱང་ཆུབ|Enlightenment
བྱང་ཆུབ|Enlightenment
བྱང་ཆུབ|Enlightenment
བྱང་ཆུབ་ཤིང|Bodhi tree
བྱང་ཆུབ་ཀྱི་ཤིང|Bodhi tree
ཨ་ཤྭད་ཐ|Bodhi tree
བྱང་ཆུབ་ཤིང|Bodhi tree
བྱང་ཆུབ་ཀྱི་ཤིང|Bodhi tree
ཨ་ཤྭད་ཐ|Bodhi tree
བྱང་ཆུབ་ཤིང|Bodhi tree
བྱང་ཆུབ་ཀྱི་ཤིང|Bodhi tree
ཨ་ཤྭད་ཐ|Bodhi tree
བྱང་ཆུབ་ཀྱི་སེམས|Spirit of enlightenment
བྱང་ཆུབ་ཀྱི་སེམས|Spirit of enlightenment
བྱང་ཆུབ་ཀྱི་སེམས|Aspiration to enlightenment
བྱང་ཆུབ་ཀྱི་སེམས|Semen
བྱང་ཆུབ་ཀྱི་སེམས|Bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|Bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|Mind of enlightenment
འཇུག་པའི་བྱང་ཆུབ་ཀྱི་སེམས|Applied bodhicitta
སྨོན་པའི་བྱང་ཆུབ་ཀྱི་སེམས|Bodhicitta of aspiration
སྨོན་པའི་བྱང་ཆུབ་ཀྱི་སེམས|Bodhicitta of aspiration
བྱང་ཆུབ་སྙིང་པོ|Seat of Awakening
བྱང་ཆུབ་ཀྱི་སྙིང་པོ|Seat of Awakening
བྱང་ཆུབ་ཀྱི་སྙིང་པོ|Seat of enlightenment
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་ཀྱི་སྙིང་པོ|Seat of awakening
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|Bodhisattva
ས|Bodhisattva level
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|Bodhisattva mahāsattva
ཕྱིར་མི་ལྡོག་པའི་བྱང་ཆུབ་སེམས་དཔའ|Irreversible bodhisattva
བྱང་ཆུབ་སེམས་དཔའ་དང་པོ་བ|Beginner bodhisattva
བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད|Bodhisattva collection
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|Great bodhisattva being
བྱང་ཆུབ་སེམས་དཔའི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen special qualities of a bodhisattva
བསྡུ་བའི་དངོས་པོ་བཞི|Four attractive qualities of a bodhisattva
བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད|Bodhisattva collection
ས|Bodhisattva level
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|Bodhisattva mahāsattva
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ|Bodhisattva­yāna
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ|Bodhisattva­yāna
བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་མེ་ཏོག་བྱེད|Bodhyaṅga­puṣpa­kara
བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་མེ་ཏོག་བྱེད|Bodhyaṅga­puṣpa­kara
ལུས་སུ་གཏོགས་པ་དྲན་པ|Bodily mindfulness
སྤུ་མཐོན་ཏིང་ཅན|Body hairs are bluish black
སྤུ་གཙང་བ|Body hairs are clean
སྐུའི་སྤུ་གྱེན་དུ་ཕྱོགས་པ|Body hairs that point upwards
སྐུ་གཙང་བ|Body is clean
སྲེད་མེད་ཀྱི་བུའི་ལྟར་སྐུ་གྲིམས་པ|Body is firm, like that of Nārāyaṇa
སྐུ་ལ་དྲི་མ་མེད་ཅིང་དྲི་མི་ཞིམ་པ་མེད་པ|Body is immaculate and without unpleasant odors
སྐུ་སྣུམ་བག་ཅན|Body is lustrous
སྐུ་མ་བཏུད་པ|Body is not slouched
སྐུ་འཇམ་པ|Body is soft
སྐུ་མཉེན་པ|Body is supple
སྐུ་དབྱིབས་ལེགས་པ|Body is well formed
སྐུ་ཤིན་ཏུ་ལེགས་པར་འབྲེལ་པ|Body is well proportioned
ཆོས་ཀྱི་སྐུ|Body of Dharma
ཆོས་ཀྱི་སྐུ|Body of Dharma
ལུ་ཀྱི་མཐའ་པའི་ཚོར་བ|Body’s most basic feelings
འབྲུ་མར་བསྐོལ་བ|Boiled oil
ལྷ་འབངས|Bondmen
བྲན|Bondsman
རུས་པ་ལ་ཟུག་པ|Bone pain
ཚ་ལ|Borax
ཤེད་ལས་སྐྱེས|Born of Manu
མཚམས|Boundary
ཡོན་ཏན་རིན་ཆེན་བསག་པ་དཔག་ཏུ་མེད་པ་བདེ་བ་ཀུན་ཏུ་སྟོན་པ|Boundless Accumulation of Precious Qualities and Full Display of Happiness
སྤོབས་པ་མཐའ་ཡས|Boundless Inspiration
སྣང་བ་མཐའ་ཡས་པ|Boundless Light
ཚངས་པ|Brahma
ཚངས་པ|Brahma
ཚངས་རིས|Brahma Realm
ཚངས་ཆེན|Great Brahma
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཙངས་པ|Brahmā
ཙངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
མཚངས་ཆེན|Mahā-Brahmā Heaven
ཚངས་ཆེན|Great Brahmā
ཚངས་རིས|Brahmā realm
ཚངས་པའི་བསོད་ནམས|Merit of Brahmā
མཚངས་ཆེན|Mahā-Brahmā Heaven
ཚངས་པའི་གྲོང་ཁྱེར|Palace of Brahmā
ཚངས་པའི་གནས་པ་བཞི|Four communions with Brahmā
ཚངས་སྒོ་ང|Egg of Brahmā
ཚངས་པའི་སྒོ་ང|Egg-of-Brahmā
ཚངས་པའི་གཟེར་བུ་ཆེན་པོ|Great Nail of Brahmā
ཚངས་པའི་དབྱངས|Divine voice of Brahmā
ཚངས་པའི་འཇིག་རྟེན་བཅུ་གཉིས|Twelve Brahmā realms
ཚངས་པའི་གནས|Abodes of Brahmā
ཚངས་པའི་མདུན་ན་འདོན|Realms of the High Priests of Brahmā
ཚངས་རིས|Brahma Realm
ཚངས་རིས|Brahmā realm
ཚངས་པའི་སྟོབས|Brahmābala
ཚངས་པའི་སྟོབས|Brahmābala
ཚངས་པས་བྱིན|Brahmadatta
ཚངས་པས་བྱིན|Brahmadatta
ཚངས་པ་བྱིན|Brahmadatta
ཚངས་པ་བྱིན|Brahmadatta
རྩིབས་ཀྱིས་འཕུར་ཚངས་བྱིན|Arāḍa Brahmadatta
རྩིབས་ཀྱིས་འཕུར་ཚངས་བྱིན|Arāḍa Brahmadatta
ཚངས་པའི་ལྷ|Brahmādeva
ཚངས་པའི་ལྷ|Brahmādeva
ཚངས་པའི་རྒྱལ་མཚན|Brahmadhvaja
ཚངས་པའི་རྒྱལ་མཚན|Brahmadhvaja
ཚངས་པའི་བུ་མོ|Brahmaduhitā
ཚངས་པའི་བུ་མོ|Brahmaduhitā
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དྲ་བ|Brahmajāla
ཚངས་པའི་དྲ་བ|Brahmajāla
ཚངས་པ|Brahmaka
ཚངས་པ|Brahmaka
ཚངས་རིས|Brahma Realm
ཚངས་རིས|Brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་པ|Brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་པ|Brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་རིས|Brahmā realm
ཚངས་པའི་བློ་གྲོས|Brahmamati
ཚངས་པའི་བློ་གྲོས|Brahmamati
བྲམ་ཟེ|Priest
བྲམ་ཟེ|Brahmin
བྲམ་ཟེ|Brahmin
བྲམ་ཟེ|Brahmin
བྲམ་ཟེ|Brāhmin priest
བྲམ་ཟེ|Brāhmaṇa
བྲམ་ཟེ|Brāhmaṇa
ཚངས་པའི་ཞལ|Brahmānana
ཚངས་པའི་ཞལ|Brahmānana
ཚངས་པའི་མདུན་འདོན|Brahmapurohita
ཚངས་པའི་མདུན་འདོན|Brahmapurohita
ཚངས་པ་མདུན་ན་འདོན|Brahmapurohita
ཚངས་པ་མདུན་ན་འདོན|Brahmapurohita
ཚངས་པའི་དྲང་སྲོང|Brahmarṣi
ཚངས་པའི་དྲང་སྲོང|Brahmarṣi
ཚངས་པའི་སྙན|Brahmaśrava
ཚངས་པའི་སྙན|Brahmaśrava
ཚངས་པའི་དཔལ|Brahmaśrī
ཚངས་པའི་དཔལ|Brahmaśrī
ཚངས་པའི་སྒྲ་དབྱངས|Brahmasvarāṅga
ཚངས་པའི་སྒྲ་དབྱངས|Brahmasvarāṅga
སྒྲ་སྙན|Brahmatejas
སྒྲ་སྙན|Brahmatejas
ཚངས་ནོར|Brahmavasu
ཚངས་ནོར|Brahmavasu
ཚངས་པའི་གནས|Brahmavihāra
ཚངས་པའི་གནས|Brahmavihāra
ཚངས་པའི་གནས|Brahmavihāra
ཚངས་པའི་གནས|Brahmavihāra
ཚངས་པའི་གནས|Abodes of Brahmā
ཚངས་པའི་གནས་བཞི|Four sublime abodes
ཚང་པའི་མི་དབང་སྤྱན|Brahma­narendra­netra
ཚང་པའི་མི་དབང་སྤྱན|Brahma­narendra­netra
ཚངས་འཁོར|Brahma­pari­ṣadya
ཚངས་འཁོར|Brahma­pari­ṣadya
ཚངས་པ་དང་ཁྱབ་འཇུག་དང་དབང་ཕྱུག་ཆེན་པོ་ཐམས་ཅད་ཀྱི་དཔལ|Brahma­viṣṇu­maheśvara­śrī
ཚངས་པ་དང་ཁྱབ་འཇུག་དང་དབང་ཕྱུག་ཆེན་པོ་ཐམས་ཅད་ཀྱི་དཔལ|Brahma­viṣṇu­maheśvara­śrī
ཚངས་པའི་དབང་ཕྱུག|Brahmeśvara
ཚངས་པའི་དབང་ཕྱུག|Brahmeśvara
ཚངས་པ་ལེན|Brahmilā
ཚངས་པ་ལེན|Brahmilā
བྲམ་ཟེ|Brahmin
བྲམ་ཟེ|Brahmin
བྲམ་ཟེ|Brahmin
བྲམ་ཟེ|Brāhmin priest
ཚངས་མཆོག|Brahmottara
ཚངས་མཆོག|Brahmottara
ཀླད་པ|Brain tissue
བྱང་ཆུབ་ཡན་ལག་བདུན|Seven branches of awakening
བྱང་ཆུབ་ཀྱི་ཡན་ལག|Branches of awakening
བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན|Seven branches of awakening
བྱང་ཆུབ་ཀྱི་ཆོས་སུམ་ཅུ་རྩ་བདུན|Thirty-seven branches of awakening
བྱང་ཆུབ་ཀྱི་ཡན་ལག|Branches of enlightenment
བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན|Seven branches of enlightenment
བྱང་ཆུབ་ཀྱི་ཡན་ལག|Branches of enlightenment
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption
པ་ན|Breadfruit
ཚངས་པ་མཚུངས་པར་སྤྱོད་པ|Brethren
ཕུར་བུ|Bṛhaspati
ཕུར་བུ|Bṛhaspati
འབྲས་བུ་ཆེ|Bṛhat­phala
འབྲས་བུ་ཆེ|Bṛhat­phala
འོད་འཕྲོ|Brilliance
འོད་འཕྲོ་བ|Brilliance
དགའ་བ་བྱེད་པ|Bringer of Joy
རབ་ཏུ་འཇིག་པ|Brittle
རྟིང་པ་ཡངས་པ|Broad heels
ཚེ་དང་ལྡན་པ|Brother
ཚེ་དང་ལྡན་པ|Brother
ཚེ་དང་ལྡན་པ|Brother
ཚེ་དང་ལྡན་པ|Brother
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Awakened one
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སང་རྒྱས|Buddha
སང་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
རང་སངས་རྒྱས|Solitary buddha
སངས་རྒྱས་ཀྱི་ཆོས|Buddha qualities
སངས་རྒྱས་ཀྱི་ཞིང|Buddha realm
སངས་རྒྱས་བཅོམ་ལྡན་འདས|Lord Buddha
སངས་རྒྱས་ཀྱི་རིགས|Family of the Buddha
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Perfectly enlightened buddha
ངོ་བོ་ཉིད་སྐུ|Buddha body of essentiality
ཆོས་ཀྱི་སྐུ|Buddha body of reality
སྤྲུལ་པའི་སྐུ|Buddha body of emanation
གཟུགས་ཀྱི་སྐུ|Buddha body of form
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Completely perfect buddha
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Genuinely perfect buddha
རང་བཞིན་གནས་རིགས|Naturally abiding buddha nature
རིགས་ཀྱི་ས|Level of buddha nature
སངས་རྒྱས་ཀྱི་མིག|Eye of the buddhas
སངས་རྒྱས་རྗེས་སུ་དྲན་པ|Recollection of the Buddha
སངས་རྒྱས་གྱི་ཆོས་མ་འདྲེས་པ|Distinct qualities of a buddha
སངས་རྒྱས་ཀྱི་ཆོས|Buddha qualities
སངས་རྒྱས་གྱི་ཆོས་མ་འདྲེས་པ|Unique qualities of a buddha
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Perfectly and fully enlightened Buddha
འབྲས་བུ་ཆོས་སྐུ|Fruitional buddha body of reality
ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ|Buddha body of perfect resource
སངས་རྒྱས་དཀོན་མཆོག|Precious jewel of the Buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique qualities of a buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique qualities of a buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen special qualities of the Buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique qualities of a buddha
ཉེ་བའི་སྲས་ཆེན་བརྒྱད|Eight Close Sons of the Buddha
ཡེ་ཤེས་ཆོས་སྐུ|Buddha body of pristine cognition and reality
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique attributes of a buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Awakened one
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སང་རྒྱས|Buddha
སང་རྒྱས|Buddha
སངས་རྒྱས|Buddha
སངས་རྒྱས|Buddha
རང་སངས་རྒྱས|Solitary buddha
སངས་རྒྱས་ཀྱི་ཆོས|Buddha qualities
སངས་རྒྱས་ཀྱི་ཞིང|Buddha realm
སངས་རྒྱས་བཅོམ་ལྡན་འདས|Lord Buddha
སངས་རྒྱས་ཀྱི་རིགས|Family of the Buddha
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Perfectly enlightened buddha
ངོ་བོ་ཉིད་སྐུ|Buddha body of essentiality
ཆོས་ཀྱི་སྐུ|Buddha body of reality
སྤྲུལ་པའི་སྐུ|Buddha body of emanation
གཟུགས་ཀྱི་སྐུ|Buddha body of form
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Completely perfect buddha
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Genuinely perfect buddha
རང་བཞིན་གནས་རིགས|Naturally abiding buddha nature
རིགས་ཀྱི་ས|Level of buddha nature
སངས་རྒྱས་ཀྱི་མིག|Eye of the buddhas
སངས་རྒྱས་རྗེས་སུ་དྲན་པ|Recollection of the Buddha
སངས་རྒྱས་གྱི་ཆོས་མ་འདྲེས་པ|Distinct qualities of a buddha
སངས་རྒྱས་ཀྱི་ཆོས|Buddha qualities
སངས་རྒྱས་གྱི་ཆོས་མ་འདྲེས་པ|Unique qualities of a buddha
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|Perfectly and fully enlightened Buddha
འབྲས་བུ་ཆོས་སྐུ|Fruitional buddha body of reality
ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ|Buddha body of perfect resource
སངས་རྒྱས་དཀོན་མཆོག|Precious jewel of the Buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique qualities of a buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique qualities of a buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen special qualities of the Buddha
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique qualities of a buddha
ཉེ་བའི་སྲས་ཆེན་བརྒྱད|Eight Close Sons of the Buddha
ཡེ་ཤེས་ཆོས་སྐུ|Buddha body of pristine cognition and reality
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|Eighteen unique attributes of a buddha
སྤྲུལ་པའི་སྐུ|Buddha body of emanation
ངོ་བོ་ཉིད་སྐུ|Buddha body of essentiality
གཟུགས་ཀྱི་སྐུ|Buddha body of form
ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ|Buddha body of perfect resource
ཡེ་ཤེས་ཆོས་སྐུ|Buddha body of pristine cognition and reality
ཆོས་ཀྱི་སྐུ|Buddha body of reality
འབྲས་བུ་ཆོས་སྐུ|Fruitional buddha body of reality
སངས་རྒྱས་ཀྱི་ཆོས|Buddha qualities
སངས་རྒྱས་ཀྱི་ཞིང|Buddha realm
སངས་རྒྱས་ཀྱི་ཆོས|Buddhadharma
སངས་རྒྱས་ཀྱི་ཆོས|Buddhadharma
སངས་རྒྱས་ཀྱི་ཞིང|Buddhafield
སངས་རྒྱས་ཀྱི་ཞིང|Buddhafield
ཞིང་ཁམས|Buddhafield
སངས་རྒྱས་བསྐྱང|Buddhapālita
སངས་རྒྱས་བསྐྱང|Buddhapālita
སངས་རྒྱས་འཚོ|Buddharakṣita
སངས་རྒྱས་འཚོ|Buddharakṣita
སངས་རྒྱས་ཕལ་པོ་ཆེ|Buddhāvataṃsaka
སངས་རྒྱས་ཕལ་པོ་ཆེ|Buddhāvataṃsaka
སངས་རྒྱས་ཕལ་པོ་ཆེ|Garlands of the buddhas
སངས་རྒྱས་ཀྱི་ཐེག་པ|Buddhayāna
སངས་རྒྱས་ཀྱི་ཐེག་པ|Buddhayāna
སངས་རྒྱས་དཔལ|Buddhiśrī
སངས་རྒྱས་དཔལ|Buddhiśrī
ཧི་ལ་མི་ཅི|Buffalo spinach
སྒྲོན་མ་འབར་བ|Burning Lamp
སྡོང་དུམ་ཚིག་པ|Burning tree stump
སྦྱིན་སྲེག|Burnt offering
བྱ་སྐྱིབས་སུ་བྱས་པ|Burrowed out crevice
བུསྤ|Busā
བུསྤ|Busā
བུ་སྟོན་རིན་ཆེན་གྲུབ|Butön
ཨ་པ་ར་ཛི|Butterfly pea
ཨ་པ་ར་ཛི་ཏ་དཀར་པོ|Butterfly pea
དཔྱིད་བཟླ་དང་པོ|Caitra
དཔྱིད་བཟླ་དང་པོ|Caitra
མཆོད་རྟེན|Memorial
མཆོད་རྟེན|Stūpa
མཆོད་རྟེན|Shrine
མཆོད་རྟེན|Caitya
མཆོད་རྟེན|Caitya
མཆོད་རྟེན|Caitya
མཆོད་རྟེན|Caitya
འོད་འཕྲོའི་ཏོག|Caityaka
འོད་འཕྲོའི་ཏོག|Caityaka
འཁོར་ལོ|Chakra
འཁོར་ལོ|Wheel
མེ་ཏོག་འཁོར་ལོ|Cakra
མེ་ཏོག་འཁོར་ལོ|Cakra
ཁོར་ཡུག|Cakravāḍa
ཁོར་ཡུག|Cakravāḍa
འཁོར་ཡུག|Cakravāla
འཁོར་ཡུག|Cakravāḍa
འཁོར་ཡུག|Cakravāḍa
འཁོར་ཡུག|Cakravāla
འཁོར་ཡུག|Cakravāla
ཁོར་ཡུག|Cakravāla
ཁོར་ཡུག|Cakravāla
འཁོར་ཡུག|Mount Cakravāla
ཁོར་ཡུག|Cakravāla
ཁོར་ཡུག|Cakravāla
འཁོར་ཡུག|Mount Cakravāla
གྲོང་ཁྱེར་འཁོར་ཡུག|Surrounding City
གྲོང་ཁྱེར་ཁོར་ཡུག|Cakravālapur
གྲོང་ཁྱེར་ཁོར་ཡུག|Cakravālapur
ཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ|Universal monarch
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
འཁོར་ལོས་སྒྱུར་བ|Cakravartin
རྣམ་པར་གནོད་པར་བྱེད་པ|Calamitous
གོ་སྐོན|Call up
ཞི་བ|Calm
ཞི་གནས|Calm abiding
ཞི་གནས|Calm abiding
མ་ཞི་བ|Not calm
ཤིན་ཏུ་ཞི་བ|Utterly calm
