ཀ|{stambha}
ལྡེ་མིག་ཀྱོག་པོ|{kuJcikA}
ཀྱོང|{vila}
ཀྱོང་ཀྱོང|{vila}
ཀྲི་ཀ་ལཱ་ས|{kRkalAsa}
ཀྲི་ཀི་རྒྱལ་པོ|{kRkI rAjA}
ཀྲི་ཀྲི|{kRkin}
ཀྲི་ཀྲི་རྒྱལ་པོ|{kRkI rAjA}
ཀྲི་ཡ|{kriyA}
ཀྲིས་ཎ|{kRSNa}
ཀྲིས་ཎ་སཱ་ར|{kRSNasAra}
ཀྲིས་ཎ་པ|{kRSNapAda}
ཀྲིས་ཎའི་གོས་ཅན|{kRSNavAsin}
ཀྲུ་ཀྲུ་ཧིས|{citraka}
ཀྲུང་ཀྲུང|{krauJca}
ཀྲོ་དྷ་ན|{krodhanA}
ཀྲོང་ཀྲོང|{avotthita}
ཀླ་ཀློ|{1) anArya 2) tIvara 3) turuSka 4) mleccha 5) avana}
ཀླ་ཀློ་རྒྱལ་པོ|{mleccha}
ཀླ་ཀློའི་ཁ|{mlecchamukha}
ཀླ་ཀློའི་གོས|{maludhAna (?)}
ཀླ་ཀློའི་ཆོས|{zabdadharma}
ཀླ་ཀློའི་འཕེལ|{1) turuSkavardhana 2) yavanavardhana}
ཀླ་ཀློའི་སྦྲུམ|{mArulAhi (?)}
ཀླ་མ|{sthUlakambala}
ཀླ་རྩི|{kastUrI}
གླ་རྩི|{kastUrI}
ཀླག་ཀློག་པ|{ityasya bhavi}
ཀླག་ཅོར|{1) kolAhala 2) dhvanI}
ཀླག་པ|{1) adhyayana 2) avatAra}
ཀླག་པའི་སློབ་དཔོན|{pAThAcArya}
ཀླག་པར་བྱ|{vAcayet}
ཀླགས་ལྟ་བ|{avatAraprekSin}
ཀླགས་པར་བྱ|{paThitavya}
ཀླད|{1) Adi 2) upari 3) kumbha 4) mastaka, mastiSka}
ཀླད་རྒྱས|{mastakaluGga}
ཀླད་རཧྱས་འཐོགས་པ|{mastakaM nirlikhanti}
ཀླད་ནད|{ziraHzUla}
ཀླད་པ|{1) upari 2) mastaka}
ཀླད་པོ་ཆེན|{vattuzras}
ཀླད་མ|{Adi}
ཀླན་ཀ|{1) avatAra 2) apAlambha 3) codya}
རྟ་ག་ཏུ་ཀླུན་པ་ཚོལ་བ|{sadAvatAragaveSNatA}
ཀླན་ཀ་མི་ཚོལ་བ|{anupalambha prekSiNaH}
ཀླན་ཀ་ཚོལ་བའི་བསམ་པ|{upAlambhAbhiprAya}
ཀླན་པ|{kambala}
ཀླམ་པ|{sthUlakambala}
ཀླལ་བ|{vijRmbha}
ཀླས|{1) A°, an° 2) utta, unna}
ཀླས་པ|{1) utta 2) unna 3) klinna 4) parama 5) paryanta}
ཆོས་ཀྱི་དབྱིངས་ཀྱི་ཀླས་པ|{dharmadhAtuparamaH}
ཆོས་ཀྱི་དབྱིངས་ཀྱི་ཀླས་པ|{dharmadhAtuparyanta}
ཀླིང་མ|{pulina}
གླིང་མ|{pulina}
ཀླུ|{1) uraga 2) giti (?) 3) takSaka 4) dvijanman 5) napuci 6) nAga 7) pannaga 8) kaNin 9) pAtaGga 10) vyADa 11) sAgarendra}
ཀླུ་ཀུན་ཏུ་དགའ་བ|{nAgAnanda}
ཀླུ་སྐྱོང|{nAgapAla}
ཀླུ་ཁྲོ་བོ་གསད་པའི་ཕྲིན་ལས|{krodhanAgamAraNakarma}
ཀླུ་དགའ|{nAganandin}
ཀླུ་རྒྱལ|{nAgarAja}
ཀླུ་རྒྱལ་དཀྲ་པོ་དུང་སྐྱོང|{nAgarAjazubhrazAkhapAla}
ཀླུ་རྒྱལ་དགའ་བོ|{nAgarAja nanda}
ཀླུ་རྒྱལ་ཉེ་དགའ|{nAgarAja upananda}
ཀླུ་རྒྱལ་མཐའ་ཡས|{ananda}
ཀླུ་རྒྱལ་པོ་རྒྱ་མཚོ་ཞུས་པ|{sAgaramagarAjaparipRcchA}
ཀླུ་རྒྱལ་བ༹་རུ་ཎ|{nAgarAja varuNa}
ཀླུ་རྒྱལ་སོག་མ་མེད|{nAgarAja apalAla}
ཀླུ་སྒྲུབ|{nAgArjuna}
གུར་ཡུམ་ཅན་ཀླུ་སྒྲུབ་ལུགས|{nAgArjunakrama ~ mahAkAla}
མགོན་པོ་ཕྱག་བཞི་པ་ཀླུ་སྒྲུབ་ལུགས|{nAgArjunakrama caturbhuja mahAkAla}
ཀླུ་ལྕེ་བ|{nAgajihvikA}
ཀླུ་འཇོག་པ|{takSaka}
ཀླུ་འཇོག་པོ|{takSaka}
ཀླུ་མཐར་བྱེད|{1) nAgAntaka 2) zeSanAga}
ཀླུ་བདག|{nAgAdhipati}
ཀླུ་སྡིངས|{nAgasAnu}
ཀླུ་སྡེ|{nAgasena}
ཀླུ་ནད|{1) kuSTharoga 2) nAgaroga}
ཀླུ་ནི་དགའ|{nAganandin}
ཀླུ་གནས|{nAgavRta}
ཀླུ་བོད|{nAgAhvaya}
ཀླུ་བྱང|{nAgabodhi}
ཀླུ་དབང་གི་རྒྱལ་པོ|{nAgezvararAja}
ཀླུ་དབང་མགུལ་རྒྱན|{nAgendra kaNThabharaNa}
ཀླུ་དབང་རྒྱལ་པོ|{nAgezvararAja}
ཀླུ་དབྱངས|{nAgaruta}
ཀླུ་དབྱངས་ཀྱི་རྒྱལ་པོ|{geyarAja}
ཀླུ་སྦྱིན|{nAgadatta}
ཀླུ་མོ|{nAgI}
ཀླུ་མོ་ནོར་སྐྱོང་ཞལ་མ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས|{nAgIvasupAlamukhIsAdhana}
ཀླུ་མོ་ཡ་ཕུ་ཞེས་བྱ་བའི་མངག|{nAgayaphUpadeza}
ཀླུ་མོ་རེ་མ་ཏི|{nAgI rematI}
ཀླུ་མོའི་སྒྲུབ་ཐབས|{nAgIsAdhana}
ཀླུ་ཞེས་བོས་པ|{nAgAhvaya}
ཀླུ་གཞོན་ནུ|{nAgakumAra}
ཀླུ་འོད|{nAgaprabhAsa}
ཀླུ་ཡི་སྐད|{nAgabhASA}
ཀླུ་ཡི་འཇིག་རྟེན|{nAgaloka}
ཀླུ་ཡི་སྡེ|{nAgasena}
ཀླུ་ཡི་བུ་མོ|{nAgakanyA}
ཀླུ་རིགས་བཞི་མནན་པའི་ཆོ་ག|{nAgakulacaturastambhanavidhi}
ཀླུ་རིགས་བཞིའི་སྒྲུབ་ཐབས|{nAgakulacaturasAdhana}
ཀླུ་ལག|{nAgabhuja}
ཀླུ་ཤིང|{1) nAgadruma 2) nAgaraGga 3) nAgavRkSa 4) punnAga 5) suvarNatvak}
ཀླུང|{1) salilodaka 2) odha (?) 3) nadI}
འཁོར་བའི་ཀླུང་ཆེན|{saMsAranadI}
ཀླུང་ཆེན་པོ|{1) nadI 2) mahAnadI}
ཀླུའི་གྲོང་ཁྱེར|{1) nAganagarI 2) bhogavatI}
ཀླུའི་རྒྱལ་པོ|{1) nAgarAjA 2) bhujaGgendra}
ཀླུའི་རྒྱལ་པོ་དགའ་བོ་ཉེར་དགའ་འདུལ་བའི་མདོ|{nandopanandanAgarAjadamanasUtra}
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ་ཞུས་པ|{sAgaranAgarAjaparipRcchA}
ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པས་ཞུས་པ|{anavataptanAgarAjaparipRcchA}
ཀླུའི་རྒྱལ་པོ་གཟི་ཅན་གྱིས་ཞུས་པ|{tapasvinAgarAjaparipRcchA}
ཀླུའི་འཇིག་རྟེན|{nAgaloka}
ཀླུའི་འཇིགས་སྐྱོབས|{nAgabhayatrANa}
ཀླུའི་གདོན|{nAgagraha}
ཀླུའི་སྡེ|{nAgasena}
ཀླུའི་བུ་མོ|{nAgakanyakA}
ཀླུའི་བྱང་ཆུབ|{nAgabodhi}
ཀླུའི་བློ|{nAgabuddhi}
ཀླུའི་དབང་པོའི་སྒྲ|{nAgendrarutA}
ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས|{nAgezvararAjasAdhana}
ཀླུའི་སྤྲུལ|{pannaga}
ཀླུའི་འཛིན|{nAgaloka}
ཀླུའི་གཟུགས་དང་ཆ་བྱད་འཛིན་པ|{nAgaveSadhArin}
ཀླུའི་འོད|{nAgaprabhAsa}
ཀླུའི་ཡི་གེ|{nAgAkSara}
ཀླུའི་ལག་པ|{nAgabhuja}
ཀླུའི་བཤེས་གཉེན|{nAgamitra}
ཀླུའི་ལྷ|{nAgadeva}
ཀླུས་ནི་བྱྱིན་པ|{nAgadatta}
ཀླུས་བོད|{nAgAhvaya}
ཀླུས་བྱིན|{nAgadatta}
ཀླུས་བྱིན་པའི་གཟུངས་ཀླུའི་སྙིང་པོ|{nAgadatta dhAraNI nAgahRdaya}
ཀླུས་བསྲུངས|{nAgarakSita}
ཀློ་ཀློའི་བྱེ་བྲག|{turuSkavizeSa}
ཀློ་ཀློའི་ཡུལ|{mlecchadeza}
ཀློག|{1) adhIta 2= paThanti 3) paThet 4) vacenti 5) vAcayati}
ཀློག་ཏུ་བཅུག་པ|{adhyApayAmAsa}
ཀློག་ཏུ་འཇུག|{adhyApayati}
ཀློག་ཏུ་འཇུག་པ|{adhyApana}
ཀློག་འདོན|{1) adhIte 2) paThati}
ཀློག་ལ་དན|{paThaH (?)}
ཀློག་ན|{vAcayi}
ཀློག་པ|{1) nipaTha 2) pATha 3) vAcan 4) vAcayamAna 5) vAcayiSyanti 6) bhasmitaM kuryAt, bhasmIkuryAt}
ཀློག་པའི་སློབ་དཔོན|{pAThAcArya}
ཀློག་པར་འགྱུར|{bhasmitaM kuryAt, bhasmIkuryAt}
རློག་པར་འགྱུར|{bhasmitaM kuryAt, bhasmIkuryAt}
ཀློག་པར་བྱེད|{1) pAThaka 2) vAcayanti}
ཀློག་བྱང|{guNanikA}
ཀློག་བྱེད|{yAga}
ཀློག་མ|{1) paThikA 2) savanti (?)}
ཀློག་ཚུལ་གཤན|{guccha, gucchaka}
ཀློང|{1) AgrAham (?) 2) Avarta 3) nisarga 4) vipula}
ཀློང་འཁོར་ཅན|{Urmika}
ཀློང་དུ་གྱུར|{avabodha}
ཀློང་དུ་གྱུར་པ|{avabodha}
ཀློང་བ་མེད་པ|{akSubhita}
ཀློང་མ་དཀྱེལ|{kukSi}
ཀློངས་དང་བཅས་པ|{sAvartama}
ཀློངས་པ|{luThita, luDita}
ཀས་ཡ|{kSaya}
ཀསུ་ཀསུ་སེ་རི་ཀུནྡའི་སྒྲུབ་ཐབས|{kSukSuserikuNDalisAdhana}
ཀསེ་ཏྲ་པཱ་ལ|{kSetrapAla}
དཀན|{1) tAlu 2) prasAta(?)}
དཀན་གྱི་ཡི་གེ|{tAlavyavarNa}
དཀན་གཏོག|{jihvAsphoTaka}
འགྲོགས་དཀའ|{duHkhasaMvAsa}
མགུ་བར་དཀའ|{durArAdha}
རྙེད་དཀའ|{durlabha}
རྙེད་པར་ཤིན་ཏུ་དཀའ|{sudurlabha}
རྙེད་མི་དཀའ|{na durlabha}
རྙེད་ཤིན་ཏུ་དཀའ|{atidurlabha}
ཐོབ་དཀའ|{durApa}
སྤང་དཀའ|{durnivAra}
བཟོད་པར་དཀའ|{duHsaha}
ཡིད་ཆེས་དཀའ|{duSkuha}
ཤིན་ཏུ་རྙེད་པར་དཀའ|{sudurlabha}
ཤིན་ཏུ་ཐོབ་དཀའ|{atidurlabha}
ཤིན་ཏུ་སྦྱང་དཀའ|{sudurjaya}
ལྟ་བར་དཀའ|{sudu;spRza}
བཟོད་དཀའ|{suduHsaha}
དཀའ་འགྲེལ|{paJcikA}
དཀའ་བཅུ|{dazakRcchra}
དཀའ་ཐུབ|{1) tapas 2) tapaHstha 3) tapasyA 4) tapasvin 5) tapasvinI 6) tapta 7 )tApa 8) tApasa 9) duSkar 10) pravrajita 11) yati 12) vipra 13) zamaNa}
དཀའ་ཐུབ་ཀྱི་ནགས|{tapovana}
དཀའ་ཐུབ་ཀྱི་ནགས་ཚལ|{tapovana}
དཀའ་ཐུབ་ཀྱི་གནས|{tapovana}
དཀའ་ཐུབ་ཅན|{1) tapasvin 2) tapodhana}
དཀའ་ཐུབ་ཆེན་པོ|{mahAtapas}
དཀའ་ཐུབ་པ|{tApasa}
དཀའ་ཐུབ་སྤྱོད|{tapaskar}
དཀའ་ཐུབ་སྤྱོད་པ|{tapazcaraNa}
དཀའ་ཐུབ་ཟླ་བ༹|{tapas}
དཀའ་ཐུབ་ལེགས|{tapasyaH}
དཀའ་ཐུབ་གསལ|{tapaHprakAza}
དཀའ་དཔྱད|{1) kRcchra 2) duSkar 3) duSkaracaryA}
དཀའ་བ|{1) kRcchra 2) duHkha 3) dur°, dus° 4) durlabha 5) duSkar 6) duSkRta}
ཁོང་དུ་ཆུད་པར་དཀའ་བ|{duranubodha (?)}
བགྱི་བ་དཀའ་བ|{duHkha}
གཅད་དཀའ་བ|{duzcheda}
རྙེད་དཀའ་བ|{durlabha}
བཏང་བར་དཀའ་བ|{dustyaja}
རྟོགས་པར་དཀའ་བ|{duranubodha}
མཐོང་བར་དཀའ་བ|{durdRza}
གདུལ་དཀའ་བ|{durdama}
བྱ་དཀའ་བ|{duSkara}
བྱ་དཀའ་བའི་ལས་བྱེད་པ|{duSkarakArin}
དབུག་དཀའ་བ|{durbheda}
ཤིན་ཏུ་བྱ་དཀའ་བ|{suduSkara}
ཤེས་པར་དཀའ་བ|{durvijJeya}
མཆོག་མཐོང་བར་དཀའ་བ|{paramadurlabhadarzana}
དཀའ་བ་ཉིད|{kRcchratva}
དཀའ་བ་སྤྱད་པ|{1) tapasyA 2) duSkaracaryA}
དཀའ་བ་སྤྱོད་པ|{1) duSkar 2) duSkaracaryA}
དཀའ་བ་བྱེད་པ|{1) duSkarakAraka 2) duSkarakAriNI (?)}
དཀའ་བ་མེད|{na duSkaram}
དཀའ་བ་མེད་པར་ཐོབ་པ|{akRcchralAbhin}
དཀའ་བར་གནས|{duHsthita}
དཀའ་བོ|{1) kavora 2) kRcchra}
དཀའ་བྱེད་པ|{duSkarakAraka}
དཀའ་བློ་མི་བདེ་བ|{daurvacasya}
དཀའ་མཛད|{duSkar}
དཀའ་ཟློག|{amA}
དཀའ་བཟློག|{durgA}
དཀའ་ལས|{kaSTa}
དཀའོ|{na sukara}
དཀར|{1) avadAta 2) gaura 3) dhavala 4) zukla 5) zveta 6) sita 7)}
དཀར་དཀར་བ་ཉིད|{zuklatva}
དཀར་སྐྱ|{1) pANDu 2) pANDura}
དཀར་སྐྱོ|{pANDu}
དཀར་ཆག|{1) svakSara (?) 2) sulikhira (?) 3) suvyaJjana (?) 4) sUcIlipi}
དཀར་བཏོགས་པ|{nimittavedana}
ནོར་བུ་དཀར་མདོག|{jyotIrasamaNi}
དཀར་ལྡན|{gaurI}
དཀར་ནག|{kRSNazukla}
དཀར་སྣུམ|{zyeta}
དཀར་པོ|{1) arjuna 2) avadAta 3) guNa 4) gaura 5) dUrvA 6) dhavala 7) paNDita 8) pANDara 9) rucaka 10) zukra 11) zukla 12) zuci 13) zubhra 14) zveta 15) zvetaka 16) sita 17)}
དཀར་པོ་རྣམ་པར་འཆར་པ|{sadabhyudaya}
དཀར་པོ་རྣམ་པར་མཐོང་བའི་ས|{zukladi+rzanAbhUmi}
དཀར་པོ་འབར|{zvetadIpti}
དཀར་པོ་བཟང་འདྲ་བ|{zubhapANDaropama}
དཀར་པོའི་བསྐལ་པ|{zvetakalpa}
དཀར་པོའི་ཆོས|{zukladharma}
དཀར་ཕྱོགས|{zuklapakSa}
དཀར་བ|{1) avadAta 2) gaura 3) pANDala 4) zukla 5) sita}
ལས་བགིག་ཏུ་དཀར་བ་རྣམས|{karmANi ekAntazuklAni}
དཀར་དབངས|{arjuna}
དཀར་མིན|{1) asita 2) zyAmala}
དཀར་མིན་བུ|{dakSa}
དཀར་མོ|{1) aparajitA 2) arjuna 3) avadAta 4) kAdyAyanI 5) gaurI 6) dUrvA 7) dhavala 8) paNDita 9) zukla 10) zuklA 11) zuci 12) zyetA, zyetI 13) sitA}
དཀར་མོ་ཆེན་པོ|{mahAzvetA}
དཀར་མོ་ཆེན་པོ་གཞན་པན་བརྩོན|{mahAzvetaparahitodyuktA}
དཀར་མོ་ཟླ་མདངས་ཀྱི་སྒྲོལ་མ|{candrakAntigaurI tArA (?)}
དཀར་རྩི|{dukUla}
དཀར་ཡོལ|{1) kAJjakhorI (?) 2) zvetakuNDA}
དཀར་གསལ|{1) pANDuraka 2) zuci}
དཀུ|{1) kukSi 2) kukSitA}
དཀུ་སྐབས་ཕྱིན་པོ|{mRSTakukSiH}
དཀུ་མཉེ|{Asana}
དཀུ་སྟེ|{zeSa}
དཀུ་བ|{sUti}
དཀུ་སྦོམ་པོ|{bRhatkukSi}
དཀུ་མཚུངས|{samAnodarya}
དཀུ་ཟླུམ་པ|{vRttakukSi}
དཀུམ་འགྲུམ་པ|{ityasya}
དཀུར་མ་བརྟེན|{na skambhAkRtAH}
དཀུས་ཏེ་བོར་བ|{pUtimukata}
དཀོད་པ|{vyUha}
དཀོན|{1) durlabha 2) dur°}
དེ་ནི་རིན་གྱིས་ཉོ་ནའང་དཀོན|{sA vittairapi durlabhA}
དཀོན་མཆོག|{ratna}
དམ་ཆོས་དཀོན་མཆོག|{saddharmaratna}
དམ་པའི་ཆོས་དཀོན་མཆོག|{saddharmaratna}
མདོ་སྡེ་དཀོན་མཆོག|{sUtratna}
དཀོན་མཆོག་གི་རྟེན་ལ་བསྐོར་བ་བྱ་བའི་གཟུངས་ཞེས་བྱ་བ|{pradakSiNAratnatraya nAma dhAraNI}
དཀོན་མཆོག་གི་ཟ་མ་ཏོག|{ratnakaraNDa}
དཀན་མཆོག་ཆོས|{dharmaratna}
དཀོན་མཆོག་ཏ་ལ་ལ|{ratnolkA}
དཀོན་མཆོག་ཏ་ལ་ལའི་གཟུངས|{ratnolkA nA ma dhAraNI}
དཀོན་མཆོག་སྤྲིན|{ratnamegha}
དཀོན་མཆོག་འབྱུང་གནས|{ratnAkara}
དཀོན་མཆོག་རྩེགས|{ratnakUTa}
དཀོན་མཆོག་བརྩེགས་པ|{ratnakUTa}
དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོ|{mahAratnakUTa}
དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོ་ཆོས་ཀྱི་རྣམ་གངས་ལེའི་སྟོང་ཕྲག་བརྒྱ་པ་ལས་འོད་སྲུང་ཀྱི་ལེའུ་རྒྱ་ཆེར་འགྲེལ་པ|{mahAratnakUTadharmaparyAyazatasAhasrikakAzyapaparivartaTIkA}
དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོ་ཆོས་ཀྱི་རྣམ་གྲངས་སྟོན་ཕྲག་བརྒྱ་པ་ལས་སྡོམ་པ་གསུམ་བསྟན་པའི་ལེའི|{mahAratnakUTadharmaparyAyazatasAhasrikagranthetrisaMvaranidezaparivarta}
དཀོན་མཆོག་ཟ་མ་ཏོག|{ratnakaraNDaka}
དཀོན་མཆོག་གསུམ|{1) triratna 2) ratnatraya}
དཀོན་མཆོག་གསུམ་གྱི་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ|{1) triratnamaGgalagAthA 2) ratnatrayamaGgalagAthA}
དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ|{triratnastotra}
དཀོན་མཆོག་གསུམ་གྱི་བདེ་ལེགས་ཀྱི་ཚིགས་སུ་བཅད་པ|{ratnatrayasvastigAthA}
དཀོན་མཆོག་གསུམ་གྱི་འབངས|{triratnadAsa}
དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པའི་འགྲེལ་པ|{triratnasotravRtti}
དཀོན་མཆོག་བསྲུངས|{ratnagupta}
དཀོན་པ|{1) atidurlabha 2) kaTu (?) 3) durlabha 4)}
མཁའ་ལ་དུ་འཐུལ་དཀོན་པ་བཞིན|{kaTudhUmeyathAmbare}
རབ་དཀོན་པ|{sudurlabha}
བསྒྲུབས་ནའང་མི་དཀོན་པ|{adurlabha}
དཀོན་བརྩེགས|{ratnakUTa}
དཀོར|{1) dravya 2) dhana 3) pIlu 4) vasu 5) sva}
དཀོན་མཆོག་གསུམ་གྱི་དཀོར་བརྐུས་ནས|{ratnatrayasvamAdadyAta}
དཀོར་གྱི་བླ|{gaJjapati}
དཀོར་རིགས|{1) dhana 2) vitta}
དཀོལ་པ|{Artta}
དཀོལ་བ|{uccATana}
བཀར་བ|{uccATana}
དཀོས་ཐག|{1) Artta 2) uccATana}
དཀྱིལ|{1) tala 2) nikaSA 3) maNDa 4) madhya 5) maNDala}
ནམ་མཁའི་དཀྱིལ|{gaganatala}
དཀྱིལ་དཀྲུངས|{1) parikara 2) paryaGga}
དཀྱིལ་འཁོར|{1) gocara 2) godhA 3) gola 4) nemi 5) pariveza 6) maNDala 7) maNDalI 8) valaya 9) sveram (?)}
ནམ་མཁའི་དཀྱིལ་འཁོར|{AkAzagocara}
འཇིག་རྟེན་གསུམ་གྱི་དཀྱིལ་འཁོར|{trailokyamaNDala}
ཉི་མའི་དཀྱིལ་འཁོར|{sUryamaNDala}
ཏིང་ངེ་འཛིན་གྱི་དཀྱིལ་འཁོར|{samAdhimaNDala}
ཟླ་བའི་དཀྱིལ་འཁོར|{candramaNDala}
སའི་དཀྱིལ་འཁོར|{pRthivImaNDala}
རྣམ་པར་འཁྲུག་པར་བྱེད་པའི་རླུང་གི་དཀྱིལ་འཁོར|{vikSobhaNavAtamaNDalI}
དཀྱིལ་འཁོར་གྱི་ཆོ་ག|{maNDalavidhi}
དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རྡོ་རྗེ་ཕྲང་བ་ཞེས་བྱ་བ|{vajravali nAma maNDalasAdhana}
དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཤློ་ཀ་བཞི་བརྒྱ་ལྔ་བཅུ་པ|{zrI guhyasamAjamaNDalavidhi}
དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་སྒྲུབ་ཐབས་བཟང་པོ་ཡོངས་སུ་གཟུངས་བ|{suparigraha nAma maNDalavidhi sAdhana}
དཀྱིལ་འཁོར་གྱི་ཆོས་མདོར་བསྡུས་པ|{dharmamaNDalasUtra}
དཀྱིལ་འཁོར་གྱི་ཐིག་གདབ་པ་མདོར་བསྡུས་པ|{saMkSiptamaNDalasU tra nAma}
དཀྱིལ་འཁོར་གྱི་ཐིག་གདབ་པའི་མདོར་བསྡུས་པའི་འགྲེལ་པ|{saMkSiptamaNDalasUtranAmavRtti}
དཀྱིལ་འཁོར་གྱི་ལྷ་བསྟོད་པ་རིན་པོ་ཆེ་སྒྱུ་འཕྲུལ་སྦྱིན་པ|{maNDaladevastotra ratnamAyAdAna}
དཀྱིལ་འཁོར་བརྒྱད་ཅེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས|{maNDalaSTaka}
དཀྱིལ་འཁོར་བརྒྱད་པ|{aSTamaNDalaka}
དཀྱིལ་འཁོར་ཅན|{1) maNDalaka 2) maNDalavat 3) maNDalin}
མེ་ཏོག་གི་དཀྱིལ་འཁོར་བ༹ན|{kusumakedumaNDalin}
དཀྱིལ་འཁོར་ཆེན་པོ་ཅན|{mahAmaNDalika}
དཀྱིལ་འཁོར་ཐམས་ཅད་ཀྱི་རྗེས་སུ་འཇུག་པའི་ཆོ་ག་ལྔ་པ|{sarvamaNDalAnuvartipaJcavidhi}
དཀྱིལ་འཁོར་ཐམས་ཅད་ཀྱི་སྤྱིའི་ཆོ་ག་གསང་བའི་རྒྱུད|{sarvamaNDalasAmAnyavidhinAM guhyatantra}
དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག|{maNDalAbhiSekavidhi}
དཀྱིལ་འཁོར་དྲུག་གི་ཆོ་ག|{SaNmaNDalavidhi}
དཀྱིལ་འཁོར་སྤྱིནའི་རིམ་པ|{sAdhAraNamaNDalaparipATi}
དཀྱིལ་འཁོར་དབྱུག|{maNDalezvara}
དཀྱིལ་འཁོར་ཡོངས་སུ་མ་ཆད་པ|{aparicchinnamaNDala}
དཀྱིལ་འཁོར་ཤིན་ཏུ་ཡོངས་སུ་དག་པ|{parizuddhamaNDala}
དཀྱིལ་འཁོར་གསུམ|{trimaNDala}
དཀྱིལ་ཆེ་བ|{1) atika 2) pRthu}
ཁོང་ས་ཡངས་པར|{1) atika 2) pRthu}
དཀྱིལ་མོ་དཀྲུང|{paryaGka}
དཀྱིལ་མོ་དཀྲུང་བཅས་ཏེ|{paryaGkamAbhujya}
དཀྱུས་མ|{1) avara 2) prAkRta 3) madhya}
དཀྱུས་རིང|{1) atoha (?) 2) Ayata 3) AyAma 4) dIrgha}
དཀྱུས་རིང་པོ|{Ayata}
དཀྱེལ|{gAmbhIrya}
དཀྱེས་རྡོར|{hevajra}
དཀྱོར་འབྱིན|{zakya}
དཀྲམ་ཀོ་འཐུག་པ|{atyaya}
སྤྱི་རྟོལ་ཆེ་བ|{atyaya}
དཀྲི|{veSTana}
དཀྲི་བྱེད|{gulma}
དཀྲིགས|{1) apazliSTa 2) bimbara 3) prasara}
དཀྲིགས་ཆེན་པོ|{1) mahAprasara 2) mahAbimbara}
དཀྲིསག་པ|{1) avaTa 2) Akula 3) gahana}
དཀྲིགས་པ་ཕྲག་བརྒྱབ་ནི་འཁྲུག་པ་ཞེས་བྱའོ|{zataM viMcarANAmakSobhyaM nAmocyate}
དཀྲིགས་ཕྲག་ཆེན་པོ|{1) mahAprasara 2) mahAbimbara}
དཀྲིགས་ཆེན་པོ|{1) mahAprasara 2) mahAbimbara}
མགོ་དཀྲིས|{ziroveSTita}
དཀྲིས་གྱུར|{vRtta}
དཀྲིས་པ|{1) avanddha 2) upaguDha 3) pariveSTana 4) parIta 5) veSTana 6) veSTita}
ཁྲོ་བས་ཀུན་ནས་དཀྲིས་པར་གྱུར་ཏེ|{krodhaparyavasthita}
དཀྲིས་པོ|{guDhitvA}
དཀྲུ་བ|{1) DukaH (?) 2) pUti 3) mala}
དཀྲུག་པ|{1) kSobha 2) mantha}
དཀྲུག་མི་བྱ|{na kSobhyA}
དཀྲུགས་པ|{1) Akula 2) Irita 3) paryakula4 ) pIDita (?) 5) bhramita 6) mathita 7) mardita 8) luThita 9) luDita 10) virolita 11) vyAkula}
ནད་ཀྱིས་དཀྲུགས་པ|{vyAdhyAkula}
མཆི་མས་དཀྲུགས་པའི་མིག་གིས|{azruparyAkulekSaNa}
དཀྲེ|{liGgaketu}
ཕོ་མཚན་གྱི་ཏོག|{liGgaketu}
དཀྲོགས|{luDita}
དཀྲོང་བསྐྱེད|{kSaNotpAda}
དཀྲོལ་བ|{tADAvacara}
ལམ་ནི་ཀུན་ནས་བཀག་ནས་སུ|{baddhamArgasyasarvataH}
བཀག་གྱུར་པ|{duddha}
བཀག་ནས|{kRtti}
བཀག་པ|{1) nivartana 2) nivAryate 3) niSiddha 4) niSedha 5) pratiSedha}
བཀག་པ་ཉིད|{pratiSedha}
བཀག་པ་མེད་པ|{nirargala}
བཀག་ཟིན|{1) aruNat 2) niSedha 3) yatya (?)}
བཀག་ཟིན་ཕྱིར|{niSedhataH}
བཀང་སྟེ|{1) pUrayitvA 2) pUritvana 3)}
ཁ་ཁམ་གྱིས་བཀང་སྟེ་མི་སྨྲ|{na sAlopena mukhena vAcaM pravyAhariSyAmaH}
བཀང་ནས|{pUrayitvA}
བཀང་བ|{1) nirdhataM (?) 2) pUra 3) pUrita 4) pUrNa 5) yama (?) 6) zaTita (?) 7) saM}
ཁ་བཀང་བ|{mukhapUra}
ཡུངས་མར་བཀང་བའི་སྣོད་བཀུར་ལ|{tailapAtradharo}
བཀང་ས|{maNDapa}
