འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
ཆོས་ཉིད་བར་དོ|intermediate state in which one encounters the nature of phenomena; isc. experience of/_experiencing the nature of phenomena in the interval after death
ཆོས་ཉིད་མངོན་སུམ|actual/_direct perception of the (true) nature of phenomena*
ཆོས་མཐུན་པ|(dang) chos mthun pa - analogous/_comparable/_equivalent (to); conforming (to)
ཆོས་ཅན་གྱི་སྣང་བ|appearances/_manifestations of objects in/_of the phenomenal world/_phenomenal entities
ཆོས་ལས་འདས་པ|beyond being a phenomenon; beyond ordinary phenomena
ཆོས་ཐམས་ཅད|all phenomena; everything
ཆུ|water
ཆུ་དབང|water empowerment
ཆུ་བུར་གྱི་ལྦུ་བ|bubbles in water
ཆུ་བོ་རྒྱུན་གྱི|ongoing/_continuous flow of . . .
ཆུབ་པ|to (gain) consummate master(y); to be brought to fullness/_full expression; to be complete
ཆུང་བ|lower (level)
ཆུང་ངུ|lower (level)
ཅི་ནས|ཅི་ནས་ཀྱང by all means/_in any case; at the very least; unquestionably
ཅི་རིགས|as much as circumstances allow
ཅི་ཡང|anything what(so)ever
ཅི་ནུས་སུ|as much as possible/_you can
ཅི་ནས་ཀྱང|by all means/_in any case; at the very least; unquestionably
ཅི་ཡང་མ་ཡིན་པ|to be nothing in and of itself
ཅི་ཡང་མེད་པ་ལ་ཅིར་ཡང་ཤར་བ|in every way ineffable, yet arising as anything at all
ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད|field of nothingness (3rd of 4 states in formless realm)
ཅི་ཡང་མེད་པའི་སྟོང་པ་ཉིད|emptiness that is a nihilistic void
ཅིའི་ཕྱིར|how/_why; for what reason
ཅིག|. . . (gyur) cig - Let . . . (be so)!
ཅིག་ཆར|altogether; in one fell swoop; at one and the same time
ཅིག་ཅར་བ|ཅིག་ཆར་བ person who assimilates everything all at once/_proceeds in quantum leaps
ཅིག་ཆར་བ|person who assimilates everything all at once/_proceeds in quantum leaps; ཅིག་ཅར་བ person who assimilates everything all at once/_proceeds in quantum leaps
ཅིག་ཆར་དུ|altogether; in one fell swoop; at one and the same time
ཅིར་ཡང་མ་ངེས|cannot be determined to be anything whatsoever/_at all
ཅོག|(noun +) འོ་ཅོག in its/_their entirety; all possible . . . ; all . . . that there is/_are
ཅོག་བཞག|ཅོག་གཞག (state of) resting imperturbably/_imperturbable rest/_presence*
ཅོག་གཞག|ཅོག་བཞག (state of) resting imperturbably/_imperturbable rest/_presence*
ཅུང་ཟད|a little; some small measure of . . . ; in the slightest
ཅུང་ཟད་སྙམ་པའི་ང་རྒྱལ|inverse pride; (hypocritical) self-abasement
ད་གདོད|henceforth/_from now on; at this point
ད་གཟོད|henceforth/_from now on; at this point
ད་ལྟ|now/_(at) present; immediacy
ད་ལྟའི་དུས་ནས|ད་ལྟ་ཉིད moment by moment; isc. in the very/_(ever-)present moment
ད་ལྟ་ཉིད|ད་ལྟའི་དུས་ནས moment by moment; isc. in the very/_(ever-)present moment
དད་པ|faith; isc. confidence (i.e. as one of the stobs lnga or dbang po lnga)
དད་པ་མེད་པ|cynicism; cynical
དག་མཉམ|equalness; unity of purity and equalness (mahayoga term)
དག་པ|immaculacy/_purity; immaculate/_pure; pure/_purified aspect; isc. to be uncontaminated by . . ./_to be clear(ed) of; isc. innate purity/_innately pure [with cases of 'the purity of the five poisons,' for example]; isc. accurate
དག་སྣང|pure vision/_outlook/_view
དག་པར་མཛད་པ|to purify; to make/_render immaculate/_pure; to make clear of/_clear away
དག་པར་བྱེད་པ|to purify; to make/_render immaculate/_pure; to make clear of/_clear away
དག་མཉམ་དབྱེར་མེད|དག་མཉམ་བདེན་པ་དབྱེར་མེད inseparability of (the truths) of innate purity and equalness
དག་མཉམ་ཆེན་པོ|supreme state of purity and equalness
དག་མཉམ་བདེན་པ་དབྱེར་མེད|inseparability of (the truths) of innate purity and equalness
དག་པ་རབ་འབྱམས|(entire) vast array of purity
དག་པ་དྲན་པ|recollection of pure symbolism (of deity)
དག་པ་ལྟར་ཤར་བ|arising (in a manner) consistent with purity*
དལ་འགྲོས|slow gait (in dance)
དལ་བ|leisure; leisure/_isc. freedom; at ease; sedate/_serene
དལ་བུས|slowly/_gently
དལ་ཁོད་སྙོམས་པ|uniform mandala
དལ་འབྱོར་རྙེད་དཀའ|hard-won opportunity and endowment [euph. for precious human existence]
དམ་ཅན|oath-bound one/_guardian
དམ་པ|sacred (i.e., things)/_holy (i.e., people); holy master
དམ་རྫས|samaya substance
དམ་ཚིག|samaya (commitment)
དམ་ལ་བཏག་པ|དམ་ལ་བཞག་པ to bind to a commitment
དམ་ལ་བཞག་པ|དམ་ལ་བཏག་པ to bind to a commitment
དམ་སྤྲིང་ངེ་བ|finely-tuned [TD]
དམ་བཅའ་བ|commitment/_pledge; (to) promise/_assure/_posit; (in debate, can mean) half-baked conclusion/_mere personal opinion (perjorative sense)
དམ་བཅའ་བཞི|four assurances
དམ་ཚིག་པ|དམ་ཚིག་སེམས་དཔའ (oneself/_deity) as the expression of/_that expresses commitment; samaya/_commitment aspect (of a deity)
དམ་ཚིག་སེམས་དཔའ|(oneself/_deity) as the expression of/_that expresses commitment; samaya/_commitment aspect (of a deity)
དམ་ཚིག་གི་ཕྱག་རྒྱ|samayamudra/_symbol(ic form of a deity) as commitment aspect
དང་པོའི|primary; primal; fundamental; isc. original
དང་སྦྱར་བ|to apply to . . . ; in conjunction with . . .
དང་མི་མཐུན་པ|in disagreement/_disharmony (with . . . )
དང་མི་འདྲ་བ|to bear no similarity to . . .
དང་བའི་དད་པ|faith based on awe
དང་པོ་ནས|first and foremost; from the (very) outset
དང་པོ་ཉིད་ནས|first and foremost; from the (very) outset
དངས་ཆ|limpid aspect/_quality
དངས་སུ་འཇུག་པ|to render more gentle
དངས་སང་ངེ་བ|limpidly pristine
དངས་སངས་སུ|in its limpid pristineness
དར|silk
དར་བ|to spread/_expand/_extend (e.g., teachings)
དར་གྱི་ཅོད་པན|silk-ribboned tiara
དབབ་པ|འབབས་པ to fall/_come down
དབལ་མདོས|ritual of the 'effigy of the blade'
དབང|empowerment
དབང་འབྲིང|དབང་པོ་འབྲིང་པོ middling acumen
དབང་བཅུ|དབང་ཕྱུག་བཅུ ten sovereign powers
དབང་བཞི|four (levels of) empowerments
དབང་གིས|. . . dbang gis - due to (the influence of)/_on account of/_through agency of . . .
དབང་མེད|helpless; involuntary
དབང་ཕྱུག|powerful lord
དབང་པོ|sense faculty; sense faculty (level of) acumen/_acuity/_sensibility/_sensitivity/_capacity; isc. intellect; controlling power; faculty; [acc. to Lama Drimed's preference, use 'acuity' for lower yanas and 'acumen' for Dzogchen]
དབང་ཤེས|དབང་པོའི་ཤེས་པ sense consciousness
དབང་བཞི་པ|བཞི་པའི་དབང fourth empowerment
དབང་མེད་དུ|helplessly; involuntarily
དབང་དུ་འགྱུར་ན|. . . gi dbang du (')gyur na - if one falls under the sway/_influence of . . .
དབང་དུ་གྱུར་ན|. . . gi dbang du (')gyur na - if one falls under the sway/_influence of . . .
དབང་དུ་བྱས་ན|. . . (gi) dbang du byas na - if we/_let us consider from the point of view of . . .. . . . gi dbang du byas na - if one uses/_employs/_adopts . . . ; if one follows/_takes that point of view . . . ; from the point of view of . . .
དབང་ཟ་བ|presumptuous; to fake/_pretend; (to be) presumptuous [?]
དབང་བསྐུར་བ|to bestow empowerment
དབང་པོའི་སོག|avenue/_experience of the senses
དབང་པོའི་ཤེས་པ|sense consciousness
དབང་པོ་ལྔ|five controlling powers; five senses/_sense faculties
དབང་པོ་རབ|highest acumen
དབང་པོ་སྒོ་ལྔ|five senses/_sense faculties
དབང་པོ་བརྟུལ་པོ|dull acumen
དབང་པོ་གཟུགས་ཅན་པ|corporeal sense faculty
དབང་པོ་གཟུགས་ཅན་པ་ལྔ|five (corporeal) sense faculties
དབང་པོ་ཐ་མ|inferior acumen
དབང་པོ་འབྲིང་པོ|middling acumen
དབང་པོ་རྣོན་པོ|keen acumen
དབང་གི་ལས|activity of power/_magnetizing activity
དབང་གི་ཆུ་བོ|ongoing flow of empowerment
དབང་ཕྱུག་བཅུ|ten sovereign powers
དབང་ཕྱུག་པ|worshippers of Shiva
དབང་ཕྱུག་ཆེན་པོ|Maheshvara/_Shiva
དབེན་པ|( . . . gis) dben pa - solitary; far/_distant/_removed (from . . . ); devoid (of . . . )
དབྲི་བསྣན་མེད་པ|without diminution or augmentation
དབུ་མ|middle way; central (channel); isc. middle ground
དབུ་མཛད|chant master/_leader
དབུ་མ་པ|proponent of Middle Way -
དབུས|དབུས་ན (in) the midst of
དབུས་ན|in the midst of
དབྱངས|melody
དབྱངས་འཆམ|dance performed to chanted melody (in dance)
དབྱངས་རོལ|chanting and music
དབྱངས་ཅན་མ|Sarasvati
དབྱེ་བ|(arbitrary) division/_distinction; to divide/_analyze/_classify/_differentiate. འབྱེད་པ་། ཕྱེས་པ་། ཕྱེད་པ། དབྱེ་བ to differentiate/_distinguish/_analyze/_divide; analysis/_differentiation; isc. to distil
དབྱེ་བསལ་མེད་པ|without differentiation or exclusion; indivisible and (mutually) nonexclusive; without/_not subject to division or exclusion (for numerous factors); without differentiation or exclusion (for one factor)
དབྱེར་མེད|inseparable/_indivisible/_indistinguishable
དབྱིངས|basic space; isc. element/_nature/_the fact that . . .
དབྱིངས་བྱུང|derivative of/_from basic space
དབྱིངས་གཅིག|(to be of the) same/_a single basic space; oneness of basic space
དབྱིངས་རིག|unity of basic space and awareness
དབྱིངས་རུམ|ultimate womb (of basic space); matrix of basic space
དབྱིངས་རྣམ་དག་གི་སྒྲོན་མ|lamp of the total purity of basic space*
དེ་ལ|in this regard; de'ang. . . - in this regard/_that is to say . . .
དེ་ལྟར|as . . . do; like that; in that way . . . ; such (a) . . . ; is/_are such that . . . ; ='as/_see above' (cf. 'di ltar) [a quirky idiom] iss. 'alternative(ly)'; 'to summarize' (at the end of a discussion)
དེ་ཉིད|de kho na nyid; དེ་ཁོ་ན་ཉིད suchness (itself); isc. very nature
དེ་ཙམ|rudimentary factors
དེ་བས་ན|hence/_therefore/_so, . . . ; this being so/_the case, . . .
དེ་མ་ཡིན་ལ་དེར་འཛིན་པ|the reification of what things seem to be but are not
དེ་མ་ཐག་རྐྱེན|དེ་མ་ཐག་པའི་རྐྱེན subsequent/_contiguous condition; condition that provides cohesiveness
དེ་མ་ཐག་པའི་རྐྱེན|subsequent/_contiguous condition; condition that provides cohesiveness
དེ་བཞིན་ཉིད|suchness
དེ་བཞིན་ཉིད་ཀྱི་ཏིང་ངེ་འཛིན|samadhi/_meditative absorption of suchness
དེ་བཞིན་གཤེགས་པ|tathagata/_one gone to suchness
དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ|buddha nature; tathagatagarbha/_'buddha nature' [sutra context] potential/_heart essence for attaining (state of) suchness [Dzogchen context] potential/_heart essence that consitutes attaining (state of) suchness
དེ་ཁོ་ན་ཉིད|suchness (itself); isc. very nature
དེ་ཙམ་མ་བྱུང་ན|failing this, . . .
དེ་གཤེགས་སྙིང་པོ|tathagatagarbha/_'buddha nature' [sutra context] potential/_heart essence for attaining (state of) suchness [Dzogchen context] potential/_heart essence that consitutes attaining (state of) suchness
དེའང|de la . . . - in this regard/_that is to say . . .
དེའི་ཕྱིར|because of that; because of that/_this; for that/_this reason . . .
དེའི་ཕྱིར་ན|because of that/_this; for that/_this reason . . .
དེད་པ|འདེད་པ to banish/_eliminate; to follow/_pursue/_chase; isc. to trace back
དེང་འདིར|even now; at this very moment; here and now
དེངས་པ|འདེངས་པ to disperse; to vanish/_disappear. to vanish/_disperse (into); to be clear(ed) (of)
དེས་ན|therefore; hence/_therefore/_so, . . . ; this being so/_the case, . . .
དགའ་བ|joy; bliss
དགའ་བཞི|four degrees of joy
དགའ་བ་བཞི|four degrees of joy
དགག་བྱ|what is to be renounced/_denied/_refuted
དགག་པ|to deny/_negate/_refute
དགག་སྒྲུབ|deny and/_or affirm; refutation and/_or proof; supression/_repression or indulgence/_promotion
དགག་སྒྲུབ་མེད་པ|absence of denial/_refutation and/_or affirmation/_proof
དགགས་པ|འགེགས་པ,་བཀག་པ,་དགགས་པ to hinder/_obstruct/_thwart
དགེ་བ|virtue; positive/_virtuous action
དགེ་མཚན|positive indication
དགེ་རྩ|basis of virtuous qualities; fundamental positive quality
དགེ་སྦྱོར|spiritual practice
དགེ་སྡིག|positive and negative; virtue and harm; virtuous and harmful actions
དགེ་སློང|fully ordained monk
དགེ་ཚོགས|wealth of virtue
དགེ་ཚུལ|novice monk
དགེ་སྦྱོང་གི་འབྲས་བུ་བཞི|four results of spiritual cultivation
དགེ་བ་བཅུ་གཅིག|དགེ་བའི་སེམས་བྱུང་བཅུ་གཅིག eleven virtuous states of mind/_mental events
དགེ་སྡིག་རྒྱུ་འབྲས|[with affirmative sense] causes and effects, whether positive or negative/_virtuous or harmful [with negative sense] causes or effects, whether positive or negative/_virtuous or harmful
དགེ་སློབ་མ|female religious student
དགེ་སློང་མ|nun; fully ordained nun
དགེ་ཚུལ་མ|novice nun
དགེ་བའི་རྩ་བ|basis of virtuous qualities; fundamental positive quality
དགེ་བའི་སེམས་བྱུང་བཅུ་གཅིག|eleven virtuous states of mind/_mental events
དགེ་བའི་བཤེས་གཉེན|spiritual mentor
དགོད་པ|wild [one of the nine moods of dance (speech); see rgod pa]
དགོན་པ|wilderness; monastery
དགོངས་དོན|( . . . kyi) dgongs don - (ultimate) intended meaning (underlying . . . )
དགོངས་པ|. . . kyi dgongs pa - enlightened intention behind/_perspective/_outlook concerning . . .. [for Dzogchen] enlightened intent(ion) [for lower approaches] enlightened perspective/_outlook
དགོངས་རྒྱུད|enlightened mindstream
དགོངས་པ་རྫོགས་པ|to die [honorific]; to complete/_fulfill (one's own/_a teacher's) intentions/_mission
དགོས་ཆེད|(specific/_deliberate) purpose/_reason/_value
དགོས་པ|need/_requirement/_necessity; to need/_require; purpose/_value
དགོས་པའི་རྒྱུ་མཚན|reason for (something) being necessary
དགྲ|enemy/_foe; isc. threat
དགྲ་བགེགས|enemies and hindrances
དགྲ་བཅོམ་པ|arhat; arhat/_'one who has vanquished the foe'
དགྲ་བཅོམ་པ་ལྷག་བཅས|arhat with residual traces
དགྲ་བཅོམ་པ་ལྷག་མེད|arhat without residual traces
དགྲ་བཅོམ་པ་རྒྱན་ཅན|'adorned' arhat
དགྲ་བཅོམ་པ་རྒྱན་མེད|'unadorned' arhat
དགུ་ཕྲུགས་སུ|(in) every kind/_all manner of . . .
དགྱེས་པ|to delight; delight
དི་རི་རི|(to) resound; (to set up) a humming/_low murmuring
དཀའ་ཐུབ|spiritual challengs; ascetic practice
དཀའ་བ་སྤྱོད་པ|དཀའ་བ་བྱེད་པ to undertake difficulty/_hardship
དཀའ་བ་བྱེད་པ|དཀའ་བ་སྤྱོད་པ to undertake difficulty/_hardship
དཀའ་ཐུབ་རིག་བྱེད་ཀྱི་ཐེག་པ|approach that evokes awareness through ascetic practices
དཀར་ཆ|white element; male gamete
དཀར་དམར|དཀར་ལ་དམར་བའི་མདངས་ཆགས་པ white with a reddish glow
དཀར་ནག|positive and negative
དཀར་ཕྱོགས|forces of positivity/_good
དཀར་པོ|positive
དཀར་འཇམ་རྩའི་སྒྲོན་མ|lamp of the smooth, transparent subtle channel*
དཀོན་མཆོག|highest spiritual principle
དཀོན་མཆོག་གསུམ|Three Jewels
དཀོར|property/_possession; (misappropriation of same); undeserved offerings [Ngawang]
དཀོར་སྒྲིབ|obscuration due to misappropriation of property (esp. of the Three Jewels)
དཀྲི་བ|དཀྲིས་པ to (be) ensnare(d)/_totally caught up (in); to lead along
དཀྲུགས་པ|to stir (up)/_arouse
དཀྱིལ|(the very) center/_core; isc. vault [of space/_sky]; isc. domain/_field
དཀྱིལ་འཁོར|mandala
དམངས་རིགས|shudra/_servant class
དམར་ཆ|red element; female gamete
དམར་ཁྲིད|expository teaching
དམིགས་བཅས|structured; involving constructs/_fixed/_rigid frame of reference
དམིགས་བསལ|specific/_exclusive (framework)
དམིགས་བསམ|conceptual framework(s)
དམིགས་གཏད|fixed/_localized/_rigid frame of reference
དམིགས་མེད|དམིགས་པ་མེད་པ,་དམིགས་སུ་མེད་པ nonreferential/_without any (fixed) frame of reference; unconditional; inconceivable
དམིགས་པ|construct; (fixed) frame of reference/_(conceptual) framework; (to form an) idea; to imagine/_think of/_conceive of/_think in terms of
དམིགས་རྟེན|support for visualization; focus of attention
དམིགས་ཏེ|.་.་.་ལ་དམིགས་ཏེ with . . . in mind/_as one's frame of reference
དམིགས་ཡུལ|དམིགས་པའི་ཡུལ object of attention; objective construct/_framework/_frame of reference; scope of speculation
དམིགས་སུ་མེད་པ|དམིགས་པ་མེད་པ nonreferential/_without any (fixed) frame of reference; unconditional; inconceivable
དམིགས་བསམ་བརྗོད་མེད|inconceivable, unimaginable, and inexpressible
དམིགས་པའི་ཆོས|conceptual framework(s)
དམིགས་པའི་རྐྱེན|referential condition; condition that provides a framework/_frame of reference
དམིགས་པའི་ཡུལ|object of attention; objective construct/_framework/_frame of reference; scope of speculation
དམིགས་པ་བྱེད་པ|to impose restrictions/_a fixed construct/_a fixed frame of reference
དམིགས་པ་མེད་པ|དམིགས་སུ་མེད་པ nonreferential/_without any (fixed) frame of reference; unconditional; inconceivable
དམུན་པ|benighted
དམུན་པོ|benighted
དམྱལ་བ|སེམས་ཅན་དམྱལ་བ hell (being)
དངོས|actuality; actual expression/_presence; isc. (logical) proposition/_assertion; tangible; true/_real/_actual; substance
དངོས་འཛིན|དངོས་པོར་འཛིན་པ investing/_to invest (something/_things) with reality/_real existence/_substantial existence; to hold/_conceive of (things/_something) to be real; to reify concepts
དངོས་གྲུབ|དངོས་སུ་གྲུབ་པ spiritual attainment/_siddhi
དངོས་གཞི|main body (of practice/_empowerment); the actual (state of) . . . ; actual support; isc. substantial basis
དངོས་མེད|དངོས་པོ་མེད་པ is not real; having no/_lacking substance; not actual; isc. intangible
དངོས་པོ|thing; (real) thing; substance; property; that which has substance; isc. ultimate reality [see next entry]
དངོས་རྒྱུ|direct primary cause
དངོས་སྦྱོར|དངོས་སུ་སྦྱོར་བའི་མཆོད་པ actual material (offerings)
དངོས་སུ|really; actually/_in actuality/_really
དངོས་ཡུལ|real object
དངོས་ཞེན|དངོས་པོར་ཞེན་པ fixating/_to fixate on (something/_things) as real/_having real existence/_substantial existence; reification; to reify
དངོས་པོར་འཛིན་པ|དངོས་འཛིན investing/_to invest (something/_things) with reality/_real existence/_substantial existence; to hold/_conceive of (things/_something) to be real; to reify concepts
དངོས་པོར་ཞེན་པ|དངོས་ཞེན fixating/_to fixate on (something/_things) as real/_having real existence/_substantial existence; reification; to reify
དངོས་སུ་སྦྱོར་བའི་མཆོད་པ|actual material (offerings)
དངོས་སུ་གྲུབ་པ|དངོས་གྲུབ spiritual attainment/_siddhi
དངོས་པོ་མཚན་མ་མེད་པ|nothing that can be characterized as 'real'/_having substance
དངོས་པོ་མཐོང་བ|to perceive ultimate reality (directly)
དངོས་པོ་མེད་པ|དངོས་མེད is not real; having no/_lacking substance; not actual; isc. intangible
དངོས་ཀྱི་རྒྱུ|direct primary cause
དངོས་གྲུབ་ཀྱི་རྫས|substance of spiritual attainment/_siddhi
དོ་ར|dance floor (in dance)
དོ་ཤལ|garland/_long necklace
དོད|substitute; substitute/_equivalent/_alternative
དོད་སྐད|alternate/_equivalent/_substitute term
དོག་པ|confine(ment)/_restriction
དོག་པོ|confine(ment)/_restriction
དོག་མེར་མེར|tangible yet indistinct
དོགས་པ|fear/_anxiety/_hesitation; isc. concern
དོགས་ཡུལ|object of fear/_apprehension
དོགས་གཅོད་པ|to cut through hesitation
དོན|. . . don - ultimate point/_significance of . . .. (ultimate) meaning/_sense; (actual/_true/_ultimate) significance/_implication/_purpose; what is meaningful (about . . . ); ultimacy; topic/_(ultimate) point; welfare/_benefit; (meaningful) object (of experience); value; isc. (to have/_be) ultimate(ly) existence/_ent
དོན་དམ|ultimate (reality)
དོན་གཉེར|དོན་དུ་གཉེར་བ to seek earnestly/_strive after/_pursue; to be driven
དོན་གཉིས|two kinds of benefit (personal and altruistic, short-term and lasting)
དོན་གྱི|ultimate/_actual/_true/_real; . . . of ultimate reality; in the ultimate sense. in point of fact
དོན་ལ|in actuality/_truth/_actual fact; truly/_actually/_really; in the ultimate sense. in point of fact
དོན་མེད|meaningless/_pointless/_useless
དོན་ཉན|(Khampa dialect) 'good enough' (RT)
དོན་སྤྱི|conceptual generality; abstract notion/_concept; generic object/_image
དོན་ཡོད|meaningful; meaningful(ness)
དོན་དམ་པ|ultimate (reality)
དོན་དམ་པར|ultimately/_in the ultimate sense
དོན་དམ་ཀྱི་བདེན་པ|ultimate (level of) truth
དོན་དམ་པའི་བདེན་པ|ultimate (level of) truth
དོན་དམ་དཀོར་བདུན|seven traits/_attributes of ultimate reality
དོན་དམ་བྱང་ཆུབ་ཀྱི་སེམས|ultimate (attitude of) bodhicitta/_awakened mind
དོན་དམ་བདེན་པ|ultimate (level of) truth
དོན་དུ་གཉེར་བ|to seek earnestly/_strive after/_pursue; to be driven
དོན་དུ་འཛིན་པ|to invest things with ultimate meaning
དོན་མཛད་པ|to ensure/_bring benefit the welfare of . . .
དོན་བྱེད་པ|to ensure/_bring benefit the welfare of . . .
དོན་བསྡུ་བ|to summarize (the meaning of); to bring together meanings
དོན་ཡོད་གྲུབ་པ|Amoghasiddhi/_Accomplishment of Meaning
དོན་ལ་གནས་པ|(. . . kyi) don la gnas pa - to stay true to what it means (to . . . )
དོན་ལ་མེད་ལ་སྣང་བ|apparent, yet nonexistent in actuality
དོན་མེད་པ|meaningless/_pointless/_useless
དོན་ཇི་བཞིན་པ|what ultimately is so
དོན་དྲུག་པ|proponent of the six principles (school of Indian philosophy)
དོན་གྱི་དབང|ultimate/_true empowerment
དོན་གྱི་ཡེ་ཤེས|true/_actual timeless awareness
དོན་གྱི་ནམ་མཁའ|sky in the ultimate sense (of the term/_word)
དོན་གྱི་སྙིང་པོ|ultimate heart essence
དོན་གྱི་ངོ་བོ|ultimate essence; essence in the ultimate sense
དོན་གཅིག་པའི་མཐའ|extreme/_limitation of identity/_identicalness
དོང་སྤྲུགས|དོང་ནས་སྤྲུགས་པ to dredge/_stir up (something) (from its depths)
དོང་ནས་སྤྲུགས་པ|to dredge/_stir up (something) (from its depths)
དོར་བ|to eliminate/_remove/_reject; to ignore/_dispense with/_exclude
དོར་བ་མེད་པ|nonexclusive
དཔའ་བ|courageous [one of the nine moods of dance (form (see 'bar ba) or mind)]
དཔའ་བོ|vira/_(spiritual) hero
དཔའ་མོ|virini [virA?] /_(spiritual) heroine
དཔའ་བོ་མཁའ་འགྲོ|dakas and dakinis (literally. 'viras/_heroes and dakinis')
དཔའ་བཏུལ་ཕུ་ནུ|heroic kinsmen and kinswomen [of Gesar]
དཔག་བསམ|wish granting
དཔག་མེད|དཔག་ཏུ་མེད་པ countless; boundless; unfathomable
དཔག་བསམ་གྱི་ཤིང|wish granting tree
དཔག་ཏུ་མེད་པ|countless; boundless; unfathomable
དཔལ|glory/_splendor
དཔལ་གྱི་ཆས་བཅུ|ten attributes/_symbols of glory
དཔལ་དང་ལྡན་པ|Shrimat [?]/_Endowed with Glory
དཔང་བསྟོད་པ|to extol
དཔེ|example; metaphor/_analogy/_example; allegory
དཔེ་བྱད|minor mark of (physical) perfection
དཔེ་དོན|metaphor and/_vis-à-vis actuality; metaphor and underlying meaning
དཔེ་དོན་རྟགས་གསུམ|(three factors of) metaphor, underlying meaning, and indication/_evidence/_expression
དཔེའི|metaphorical; conventional/_customary/_usual
དཔེའི་ནམ་མཁའ|sky in the conventional/_usual/_customary/_metaphorical sense
དཔེའི་ཡེ་ཤེས|anticipatory timeless awareness
དཔེར་ན|for example; by way of example/_analogy/_metaphor
དཔེར་བཞག་པ|to set forth in metaphors
དཔུང་བསྐྱེད་པ|. . . gi dpung bskyed pa - to marshal the forces of . . .
དཔྱད་བཟོད|(to) stand up under mental analysis/_investigation
དཔྱད་པ|དཔྱོད་པ (mental) analysis/_investigation/_evaluation; to analyze/_investigate/_evaluate
དཔྱད་སྒོམ|analytical/_investigative meditation; meditation involving mental analysis/_investigation
དཔྱད་པའི་ཡུལ|object to be investigated
དཔྱོད་པ|དཔྱད་པ (mental) analysis/_investigation/_evaluation; to analyze/_investigate/_evaluate
དྲ་རྒྱས|(to) spread and flourish
དྲག་པོ|wrath(ful); fervent/_intense
དྲག་པོའི|isc. forbidding
དྲག་ཤུལ|fury; furious [one of the nine moods of dance (speech)]
དྲག་སྔགས|wrathful mantra
དྲག་པོའི་ལས|wrathful activity
དྲགས་པ|. . . drags pa - to be too much of/_overly . . .
དྲན་བསམ|(recollection and) ordinary thought processes/_thinking
དྲན་མེད|without conscious recollection/_ordinary attention
དྲན་པ|(focusing of) attention; consideration; mindfulness/_recollectedness; to recall/_be mindful/_think about/_miss; to be aware/_conscious of; (deliberate) recollection; consciousness
དྲན་རིག|mindful awareness; isc. (merely) consciousness/_conscious awareness
དྲན་རྟོག|ordinary (conscious) thought processes; isc. attention and conceptualization; isc. concepts and focused attention
དྲན་ཤེས|mindful consciousness; isc. (merely) consciousness/_conscious awareness
དྲན་པ་ཉེ་བར་བཞག་པ|to rest/_settle fully in/_application of mindfulness
དྲན་པ་ཉེ་བར་གཞག་པ|to rest/_settle fully in/_application of mindfulness
དྲན་པ་ཉེ་བར་གཞག་པ་གསུམ|three applications/_bases of mindfulness
དྲན་པ་ཉེར་བཞག་བཞི|four applications of mindfulness
དྲན་རྟོག་གི|conceptual (patterns of) . . .
དྲན་རྟོག་གི་བསམ་བརྗོད|conceptual patterns of thought and speech
དྲན་བསམ་གྱི|purposeful/_deliberate . . .
དྲང་དོན|provisional/_conditional meaning/_truth/_significance
དྲང་སྲོང|sage; seer/_sage/_rishi
དྲང་ཐད་དུ|straightforwardly/_in a forthright manner
དྲི|odor/_smell
དྲི་ལན|question-and-answer format
དྲི་མ|stain; distortion/_distorting influence
དྲི་མེད|stainless; the immaculate one/_immaculacy [2nd spiritual level/_bhumi]; without distortion; impeccable/_immaculate; immaculacy; stainless/_flawless
དྲི་ཟ|gandharva; disembodied spirit/_mind in intermediate state after death
དྲི་མེད་བཤགས་རྒྱུད|Stainless Confession Tantra
དྲི་མ་ཅན|flawed/_stained/_distorted (being)/_maculate
དྲི་མ་མེད་པ|the immaculate one/_immaculacy [2nd spiritual level/_bhumi]; without distortion; impeccable/_immaculate; immaculacy; stainless/_flawless
དྲི་ཟའི་གྲོང་ཁྱེར|(mirage of) 'castles in the air'
དྲིལ་བ|to roll/_twirl/_spin; to roll/_coil up; to blend
དྲིན་ཅན|gracious/_kind
དྲོ་བར་གྱུར་པ|to (have) develop(ed) meditative warmth
དྲོད|(phase of) meditative warmth
དྲོད་གཤེར|warmth and moisture
དྲོད་གཤེར་ལས་སྐྱེས་པ|rebirth from warmth and moisture
དྲུད་ཚུལ|'hauling' motion (in dance)
དྲུང་ནས་འབྱིན་པ|to be entirely/_completely uprooted
དརབ༹་བ|web/_lattice; looped chains
དརབ༹་ཕྱེད|hanging tassels. ornamented frieze (of mansion)
དུ|. . . du - in a(n) . . . manner
དུ་མ|numerous; disparate/_diverse/_discrete; manifold; multiple
དུ་ཟད|.་.་.་དུ་ཟད to come/_boil down to . . . ; to be/_amount to nothing more than . . .
དུ་མེད་པ|. . . du med pa - not (something) to be . . .
དུ་མ་རང་གྲོལ|natural freedom of diverse nature/_qualities
དུ་མ་རོ་གཅིག|one taste of diverse nature/_qualities; one taste underlying diversity; isc. the many being of one taste
དུབ་པ|to be worn out/_weary/_fatigued
དུད་འགྲོ|animal
དུམ་བུར་བཅད་པ|to partition/_fragment
དུམ་བུར་གཅོད་པ|to partition/_fragment
