སྐུ་མ་རྙོངས་པ|a­bhugna­kukṣi­tā
སྨན་ཡང་དག་འཕགས་ལ་སོགས་པ|bhaiṣajya­samudgata
སྨན་ཡང་དག་འཕགས|Bhaiṣajya­samudgata
སྨན་ཡང་དག་འཕགས|Bhaiṣajya­samudgata
བཟང་པོ|Bhallika
བཟང་པོ|Bhallika
བན་དེ|bhadanta
བྷ་ར་དྭ་ཛ|Bharadvāja
བྷ་ར་དྭ་ཛ|Bharadvāja
བྷ་ར་དྷབ༹་ཛ|Bharadvāja
བྷ་ར་དྷབ༹་ཛ|Bharadvāja
བྷ་ར་དྭ་ཛ|Bharadvāja
བྷ་ར་དྭ་ཛ|Bharadvāja
བྷ་ར་དྭ་ཛ|Bharadvājasa
བྷ་ར་དྭ་ཛ|Bharadvājasa
བྲ་ཉེ|Bharaṇī
བྲ་ཉེ|Bharaṇī
གསོ་བའི་མཐའ|Bharukaccha
གསོ་བའི་མཐའ|Bharukaccha
ལེགས་ལྡན་འབྱེད|Bhāvaviveka
ལེགས་ལྡན་འབྱེད|Bhāvaviveka
འཇིགས་བྱེད|Bhayaṃkara
འཇིགས་བྱེད|Bhayaṃkara
རྔ་ཆེན|bherī; bheri
རྔ་བོ་ཆེ|bherī; bheri
རྔ་བོ་ཆེ|bherī
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེའ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང|bhikṣu
དགེ་སློང་མ|bhikṣuṇī
དགེ་སློང་མ|bhikṣuṇī
དགེ་སློང་མ|bhikṣuṇī
དགེའ་སློང་མ|bhikṣuṇī
དགེ་སློང་མ|bhikṣuṇī
དགེ་སློང་མ|bhikṣuṇī
དགེ་སློང་མ|bhikṣuṇī
དགེ་སློང་མ|bhikṣunī
དགེ་སློང་མ|bhikṣunī
འཇིགས་སྡེ|Bhīmasena
འཇིགས་སྡེ|Bhīmasena
འཇིགས་བཙན་སྟོབས|Bhīṣmabala
འཇིགས་བཙན་སྟོབས|Bhīṣmabala
འཇིགས་པའི་དབྱངས|Bhīṣmaghoṣa
འཇིགས་པའི་དབྱངས|Bhīṣmaghoṣa
འཇིགས་བཙན་བློ་གྲོས|Bhīṣmamati
འཇིགས་བཙན་བློ་གྲོས|Bhīṣmamati
འཇིགས་ཞལ|Bhīṣmānana
འཇིགས་ཞལ|Bhīṣmānana
འཇིགས་བཙན་འོད་འཕྲོ|Bhīṣmārci
འཇིགས་བཙན་འོད་འཕྲོ|Bhīṣmārci
འཇིགས་བཙན་འཕགས|Bhīṣmasamudgata
འཇིགས་བཙན་འཕགས|Bhīṣmasamudgata
འཇིགས་བསྒྲགས་དབྱངས་ཀྱི་རྒྱལ་པོ|Bhīṣma­garjita­svara­rāja
འཇིགས་བསྒྲགས་དབྱངས་ཀྱི་རྒྱལ་པོ|Bhīṣma­garjita­svara­rāja
འཇིགས་པའི་བླ་མ|Bhīṣmottara
འཇིགས་མཆོག|Bhīṣmottara
འཇིགས་པའི་བླ་མ|Bhīṣmottara
འཇིགས་མཆོག|Bhīṣmottara
ལོངས་སྤྱོད་མ|Bhoktrī
ལོངས་སྤྱོད་མ|Bhoktrī
རབ་འགྲོ|Bhṛgu
རབ་འགྲོ|Bhṛgu
ངན་སྤོང|Bhṛgu
ངན་སྤོང|Bhṛgu
ཁྲོ་གཉེར་ཅན|Bhṛkuṭī
ཁྲོ་གཉེར་ཅན|Bhṛkuṭī
ས|bhūmi
ས|bhūmi
ས|bhūmi
ས|bhūmi
ས|bhūmi
ས|bhūmi
ས|bhūmi
ས|bhūmi
བྷུ་མི་བི་དཱ་རཱི|bhūmividārī
བྷུ་མི་བི་དཱ་རཱི|bhūmividārī
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
བྱུང་པོ|bhūta
བྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
འབྱུང་པོ|bhūta
ཡང་དག་བློ་གྲོས|Bhūtamati
ཡང་དག་བློ་གྲོས|Bhūtamati
སེམས་ཅན་རྣམས་ཀྱི་མ|Bhūtamātṛ
སེམས་ཅན་རྣམས་ཀྱི་མ|Bhūtamātṛ
འབྱུང་མོ|bhūtinī
འབྱུང་མོ|bhūtinī
སྐྱ་སྣར|pāṭalā
པ་ཏ་ལ|pāṭalā
སྐྱ་སྣར|pāṭalā
བི་ཙི་ཀུཎྜ་ལི|Bījakuṇḍalī
བི་ཙི་ཀུཎྜ་ལི|Bījakuṇḍalī
མཁྲིས་པ་ལས་གྱུར་པའི་ནད|paittikāvyādi
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས|trisāhasra­mahā­sāhasra­loka­dhātu
བིམ་པ|bimba
བིམ་པ|bimba
བིམ་པ|bimbā
བིམ་པ|bimbā
གཟུགས་ཅན|Bimbī; Rājñī Bimbī
བཙུན་མོ་གཟུགས་ཅན|Bimbī; Rājñī Bimbī
གཟུགས་ཅན|Bimbī; Rājñī Bimbī
བཙུན་མོ་གཟུགས་ཅན|Bimbī; Rājñī Bimbī
གཟུགས་ཅན|Bimbī; Rājñī Bimbī
བཙུན་མོ་གཟུགས་ཅན|Bimbī; Rājñī Bimbī
གཟུགས་ཅན་སྙིང་པོ|Bimbisāra
གཟུགས་ཅན་སྙིང་པོ|Bimbisāra
གཟུགས་ཅན་སྙིང་པོ|Bimbisāra
གཟུགས་ཅན་སྙིང་པོ|Bimbisāra
སྐྱེ་བ|jāti
སྐྱེས་པ|jāti
སྐྱེ་བ|jāti
སྒོང་སྐྱེས|aṇḍaja
མངལ་སྐྱེས|jārāyuja
རྫུས་སྐྱེས|upa­pāduka
ལྷན་ཅིག་སྐྱེས་པའི་ལྷ|devatā sahajā
སྐྱེ་གནས་བཞི|catur­yoni
དྲོད་གཤེར་ལས་སྐྱེས|saṃ­sveda­ja
སྔོན་གྱི་གནས་རྣམ་པ་དུ་མ་རྗེས་སུ་དྲན་པ་དང་སེམས་ཅན་རྣམས་ཀྱི་འཆི་འཕོ་དང་སྐྱེ་བ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|an­eka­pūrva­nivāsānu­smṛti­cyutyutpatti­yathābhūta­prajñāna
དྲོད་གཤེར་ལས་སྐྱེས|saṃ­sveda­ja
ལྷན་ཅིག་སྐྱེས་པའི་ལྷ|devatā sahajā
མི་སྐྱེ་བ|anutpādatva
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|anutpattika­dharma­kṣānti
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|anutpattika­dharma­kṣānti
ཤ་སྦྲང|maśaka
ཨིཎྜ་བཱརུ་ཎཱི|indravāruṇī
མི་གཡོ་བ་ནག་པོ|Kṛṣṇācala
ཨ་ག་རུ་ནག་པོ|kālāgaru
ལྷུང་བཟེད་ནག་པ་ཅན|kālapātrika
ས་ནག་པོ|kṛṣṇamṛttikā
ཀ་མ་ཅི|kāmācī; kākamācī; sundarī
ཀ་མ་རྩ|kāmācī; kākamācī; sundarī
མུཎྜ་རི|kāmācī; kākamācī; sundarī
ཕོ་བ་རིས|marīca
བྱི་ཏང་ཀ|viḍaṅga
བི་ཌཾ་ག|viḍaṅga
ཛམ་བུ|jambū
བཅོམ་ལྡན་འདས་མ|bhagavatī
བཅོམ་ལྡན་འདས|bhagavān
བཅོམ་ལྡན་འདས|bhagavān
བཅོམ་ལྡན་འདས|bhagavān; bhagavat
བཅོམ་ལྡན་འདས|bhagavat
བཅོམ་ལྡན་འདས|bhagavat
བཅོམ་ལྡན་འདས|Bhagavat
བདེ་བ|sukha
བདེ་བར་གཤེགས་པ|sugata
བདེ་བ་ཅན|Sukhāvatī
ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བདེ|samādhi­ja­prīti­sukhā
བདེ་བར་གཤེགས་པ|sugata
བདེ་བར་གཤེགས་པ|sugata
ཁྲག་ནད|rudhira
རྩ་རྣམས་མི་མངོན་པ|gūḍha­śira­tā
དགེ་བའི་མེ་ཏོག་རྒྱས་ཤིང་དག་པ|śubha­puṣpita­śuddha
སྔོན་པོར་ལྟ་བུར་སྟོན་པ|nīla­nidarśana
ཨུད་པ་ལ|utpala
ཨུད་པ་ལ|utpala
ཨུད་པལ|utpala
ཨུཏྤལ|utpala
ཨུད་པལ|utpala
ཨུཏ་པལ|ut­pala
འོད་སྔོན་པོའི་འབྱུང་བ|nīla­nir­bhāsa
བྱང་ཆུབ|bodhi
བྱང་ཆུབ|bodhi
བྱང་ཆུབ|bodhi
བྱང་ཆུབ|bodhi
བྱང་ཆུབ|bodhi
བྱང་ཆུབ་ཤིང|bodhivṛkṣa
བྱང་ཆུབ་ཀྱི་ཤིང|Bodhivṛkṣa
ཨ་ཤྭད་ཐ|aśvattha
བྱང་ཆུབ་ཤིང|bodhivṛkṣa
བྱང་ཆུབ་ཀྱི་ཤིང|Bodhivṛkṣa
ཨ་ཤྭད་ཐ|aśvattha
བྱང་ཆུབ་ཤིང|bodhivṛkṣa
བྱང་ཆུབ་ཀྱི་ཤིང|Bodhivṛkṣa
ཨ་ཤྭད་ཐ|aśvattha
བྱང་ཆུབ་ཀྱི་སེམས|bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|bodhicitta
བྱང་ཆུབ་ཀྱི་སེམས|bodhicitta
འཇུག་པའི་བྱང་ཆུབ་ཀྱི་སེམས|bodhi­prasthāna­citta
སྨོན་པའི་བྱང་ཆུབ་ཀྱི་སེམས|bodhi­praṇidhi­citta
སྨོན་པའི་བྱང་ཆུབ་ཀྱི་སེམས|bodhi­praṇidhi­citta
བྱང་ཆུབ་སྙིང་པོ|bodhimaṇḍa
བྱང་ཆུབ་ཀྱི་སྙིང་པོ|bodhimaṇḍa
བྱང་ཆུབ་ཀྱི་སྙིང་པོ|bodhimaṇḍa
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་སྙིང་པོ|Bodhimaṇḍa
བྱང་ཆུབ་ཀྱི་སྙིང་པོ|bodhimaṇḍa
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva; buddhaputra
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva; buddhaputra
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|bodhi­sattva mahā­sattva
བྱང་ཆུབ་སེམས་དཔའ|bodhi­sattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
བྱང་ཆུབ་སེམས་དཔའ|bodhisattva
ས|bhūmi
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|bodhi­sattva­mahā­sattva
ཕྱིར་མི་ལྡོག་པའི་བྱང་ཆུབ་སེམས་དཔའ|a­vaivartika­bodhi­sattva
བྱང་ཆུབ་སེམས་དཔའ་དང་པོ་བ|prathama­bodhi­sattva
བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད|bodhi­sattva­piṭaka
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|bodhi­sattva­mahā­sattva
བྱང་ཆུབ་སེམས་དཔའི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|aṣṭā­daśāveṇika­bodhi­sattva­dharma
བསྡུ་བའི་དངོས་པོ་བཞི|catuḥ­saṃgraha­vastu
བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད|bodhi­sattva­piṭaka
ས|bhūmi
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ|bodhi­sattva­mahā­sattva
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ|bodhisattva­yāna
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ|bodhisattva­yāna
བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་མེ་ཏོག་བྱེད|Bodhyaṅga­puṣpa­kara
བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་མེ་ཏོག་བྱེད|Bodhyaṅga­puṣpa­kara
ལུས་སུ་གཏོགས་པ་དྲན་པ|kāya­gatānusmṛti
སྤུ་མཐོན་ཏིང་ཅན|abhi­nīla­roma­tā
སྤུ་གཙང་བ|suci­roma­tā
སྐུའི་སྤུ་གྱེན་དུ་ཕྱོགས་པ|ūr­dhvāgra­roma­tā
སྐུ་གཙང་བ|śuci­gātra­tā
སྲེད་མེད་ཀྱི་བུའི་ལྟར་སྐུ་གྲིམས་པ|nārāyaṇat su­saṃhata­gātra­tā
སྐུ་ལ་དྲི་མ་མེད་ཅིང་དྲི་མི་ཞིམ་པ་མེད་པ|vyapa­gata­tilaka­gātra­tā
སྐུ་སྣུམ་བག་ཅན|snigdha­gātra­tā; mṛṣṭa­gātra­tā
སྐུ་མ་བཏུད་པ|a­jihma­gātra­tā
སྐུ་འཇམ་པ|mṛdu­gātra­tā
སྐུ་མཉེན་པ|su­kumāra­gātra­tā
སྐུ་དབྱིབས་ལེགས་པ|vṛtta­gātra­tā
སྐུ་ཤིན་ཏུ་ལེགས་པར་འབྲེལ་པ|mṛṣṭa­gātra­tā
ཆོས་ཀྱི་སྐུ|dharmakāya
ཆོས་ཀྱི་སྐུ|dharmaśarīra
འབྲུ་མར་བསྐོལ་བ|taila
ལྷ་འབངས|kalpikāra
བྲན|dāsa
རུས་པ་ལ་ཟུག་པ|asthibheda
ཚ་ལ|ṭaṅgaṇa; ṭaṅgaṇa­kṣāra?
ཤེད་ལས་སྐྱེས|manuja
མཚམས|sīmā
སྤོབས་པ་མཐའ་ཡས|an­anta­prabhā
སྣང་བ་མཐའ་ཡས་པ|an­anta­pra­bhā
ཚངས་པ|Brahma
ཚངས་པ|Brahma
ཚངས་རིས|brahmakāyika
ཚངས་ཆེན|Mahābrahma
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|brahman
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཙངས་པ|Brahmā
ཙངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
ཚངས་པ|Brahmā
མཚངས་ཆེན|Mahā-Brahmā
ཚངས་ཆེན|mahābrahma
ཚངས་རིས|brahmakāyika
ཚངས་པའི་བསོད་ནམས|brahmāpuṇya
མཚངས་ཆེན|Mahā-Brahmā
ཚངས་པའི་གྲོང་ཁྱེར|Brahmapura; Brahma­purālaya
ཚངས་པའི་གནས་པ་བཞི|catvurbrahma­vihāra
ཚངས་སྒོ་ང|brahmāṇḍā
ཚངས་པའི་སྒོ་ང|brahmāṇḍa
ཚངས་པའི་གཟེར་བུ་ཆེན་པོ|Mahā­brahmā­śaṅku
ཚངས་པའི་དབྱངས|brahma­svara­tā
ཚངས་པའི་འཇིག་རྟེན་བཅུ་གཉིས|dvādaśa­brahma­loka
ཚངས་པའི་གནས|brahmavihāra
ཚངས་པའི་མདུན་ན་འདོན|Brahma­purohita
ཚངས་རིས|brahmakāyika
ཚངས་རིས|brahmakāyika
ཚངས་པའི་སྟོབས|Brahmābala
ཚངས་པའི་སྟོབས|Brahmābala
ཚངས་པས་བྱིན|Brahmadatta
ཚངས་པས་བྱིན|Brahmadatta
ཚངས་པ་བྱིན|Brahmadatta; Svara­brahma­datta
ཚངས་པ་བྱིན|Brahmadatta; Svara­brahma­datta
རྩིབས་ཀྱིས་འཕུར་ཚངས་བྱིན|Arāḍa Brahmadatta
རྩིབས་ཀྱིས་འཕུར་ཚངས་བྱིན|Arāḍa Brahmadatta
ཚངས་པའི་ལྷ|Brahmādeva
ཚངས་པའི་ལྷ|Brahmādeva
ཚངས་པའི་རྒྱལ་མཚན|Brahmadhvaja
ཚངས་པའི་རྒྱལ་མཚན|Brahmadhvaja
ཚངས་པའི་བུ་མོ|Brahmaduhitā
ཚངས་པའི་བུ་མོ|Brahmaduhitā
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དབྱངས|Brahmaghoṣa
ཚངས་པའི་དྲ་བ|Brahmajāla
ཚངས་པའི་དྲ་བ|Brahmajāla
ཚངས་པ|brahmaka
ཚངས་པ|brahmaka
ཚངས་རིས|brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་པ|brahmakāyika
ཚངས་རིས|brahmakāyika
ཚངས་པ|brahmakāyika
ཚངས་རིས|brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་རིས|Brahmakāyika
ཚངས་རིས|brahmakāyika
ཚངས་པའི་བློ་གྲོས|Brahmamati
ཚངས་པའི་བློ་གྲོས|Brahmamati
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
ཚངས་པའི་ཞལ|Brahmānana
ཚངས་པའི་ཞལ|Brahmānana
ཚངས་པའི་མདུན་འདོན|Brahmapurohita
ཚངས་པའི་མདུན་འདོན|Brahmapurohita
ཚངས་པ་མདུན་ན་འདོན|Brahmapurohita
ཚངས་པ་མདུན་ན་འདོན|Brahmapurohita
ཚངས་པའི་དྲང་སྲོང|brahmarṣi
ཚངས་པའི་དྲང་སྲོང|brahmarṣi
ཚངས་པའི་སྙན|Brahmaśrava
ཚངས་པའི་སྙན|Brahmaśrava
ཚངས་པའི་དཔལ|Brahmaśrī
ཚངས་པའི་དཔལ|Brahmaśrī
ཚངས་པའི་སྒྲ་དབྱངས|Brahmasvarāṅga
ཚངས་པའི་སྒྲ་དབྱངས|Brahmasvarāṅga
སྒྲ་སྙན|Brahmatejas
སྒྲ་སྙན|Brahmatejas
ཚངས་ནོར|Brahmavasu
ཚངས་ནོར|Brahmavasu
ཚངས་པའི་གནས|brahmavihāra
ཚངས་པའི་གནས|brahmavihāra
ཚངས་པའི་གནས|brahmavihāra
ཚངས་པའི་གནས|brahmavihāra
ཚངས་པའི་གནས|brahmavihāra
ཚངས་པའི་གནས་བཞི|4 brahmavihāra
ཚང་པའི་མི་དབང་སྤྱན|Brahma­narendra­netra
ཚང་པའི་མི་དབང་སྤྱན|Brahma­narendra­netra
ཚངས་འཁོར|Brahma­pari­ṣadya
ཚངས་འཁོར|Brahma­pari­ṣadya
ཚངས་པ་དང་ཁྱབ་འཇུག་དང་དབང་ཕྱུག་ཆེན་པོ་ཐམས་ཅད་ཀྱི་དཔལ|Brahma­viṣṇu­maheśvara­śrī
ཚངས་པ་དང་ཁྱབ་འཇུག་དང་དབང་ཕྱུག་ཆེན་པོ་ཐམས་ཅད་ཀྱི་དཔལ|Brahma­viṣṇu­maheśvara­śrī
ཚངས་པའི་དབང་ཕྱུག|Brahmeśvara
ཚངས་པའི་དབང་ཕྱུག|Brahmeśvara
ཚངས་པ་ལེན|Brahmilā
ཚངས་པ་ལེན|Brahmilā
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
བྲམ་ཟེ|brāhmaṇa
ཚངས་མཆོག|Brahmottara
ཚངས་མཆོག|Brahmottara
ཀླད་པ|mastaka
བྱང་ཆུབ་ཡན་ལག་བདུན|saptabodhyaṅga
བྱང་ཆུབ་ཀྱི་ཡན་ལག|bodhyaṅga
བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན|sapta­bodhyaṅga
བྱང་ཆུབ་ཀྱི་ཆོས་སུམ་ཅུ་རྩ་བདུན|sapta­triṃśadbodhyaṅga
བྱང་ཆུབ་ཀྱི་ཡན་ལག|bodhyaṅgāni
བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན|sapta­bodhyaṅga
བྱང་ཆུབ་ཀྱི་ཡན་ལག|bodhyaṅga
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|sarvendriya­bala­bodhyaṅga­vimokṣa­dhyāna­samādhi­samāpatti­saṃkleśa­vyavadāna-vyuthāna­yathā­bhūta­pra­jñāna
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|sarvendriya­bala­bodhyaṅga­vimokṣa­dhyāna­samādhi­samāpatti­saṃkleśa­vyavadāna-vyuthāna­yathā­bhūta­pra­jñāna
པ་ན|panasa
ཚངས་པ་མཚུངས་པར་སྤྱོད་པ|sabrahmacārin
ཕུར་བུ|Bṛhaspati
ཕུར་བུ|Bṛhaspati
འབྲས་བུ་ཆེ|Bṛhat­phala
འབྲས་བུ་ཆེ|Bṛhat­phala
འོད་འཕྲོ|arciṣmatī
འོད་འཕྲོ་བ|arciṣmatī
དགའ་བ་བྱེད་པ|rati­kara
རབ་ཏུ་འཇིག་པ|pra­bhaṅgurataḥ
རྟིང་པ་ཡངས་པ|ā­yata­pārṣṇi­tā
ཚེ་དང་ལྡན་པ|ayuśman
ཚེ་དང་ལྡན་པ|āyuṣmat
ཚེ་དང་ལྡན་པ|ayuśman
ཚེ་དང་ལྡན་པ|āyuṣmat
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སང་རྒྱས|buddha
སང་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
རང་སངས་རྒྱས|pratyekabuddha
སངས་རྒྱས་ཀྱི་ཆོས|buddhadharmāḥ
སངས་རྒྱས་ཀྱི་ཞིང|buddha­kṣetra
སངས་རྒྱས་བཅོམ་ལྡན་འདས|bhagavān­buddha
སངས་རྒྱས་ཀྱི་རིགས|buddhakula
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|samyak­sambuddha
ངོ་བོ་ཉིད་སྐུ|svābhāvika­kāya
ཆོས་ཀྱི་སྐུ|dharmakāya
སྤྲུལ་པའི་སྐུ|nir­māṇa­kaya
གཟུགས་ཀྱི་སྐུ|rūpa­kāya
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|samyak­saṃ­buddha; samyak­sam­buddha­tva
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|samyak­saṃ­buddha; samyak­sam­buddha­tva
རང་བཞིན་གནས་རིགས|pra­kṛti­ṣṭha­gotra
རིགས་ཀྱི་ས|gotra­bhūmi
སངས་རྒྱས་ཀྱི་མིག|buddha­cakṣuḥ
སངས་རྒྱས་རྗེས་སུ་དྲན་པ|buddhānu­smṛti
སངས་རྒྱས་གྱི་ཆོས་མ་འདྲེས་པ|āveṇika­buddha­dharma
སངས་རྒྱས་ཀྱི་ཆོས|buddhadharmāḥ
སངས་རྒྱས་གྱི་ཆོས་མ་འདྲེས་པ|āveṇika­buddha­dharma
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས|samyaksaṃbuddha
འབྲས་བུ་ཆོས་སྐུ|dharma­kāya
ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ|sam­bhoga­kāya
སངས་རྒྱས་དཀོན་མཆོག|buddha­ratna
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|aṣṭādaśāveṇika­buddha­dharma
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|aṣṭā­daśāveṇika­buddha­dharma
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|aṣṭā­daśāveṇika­buddha­dharma
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|18 āveṇika­buddha­dharma
ཡེ་ཤེས་ཆོས་སྐུ|jñānad­harma­kāya
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད|aṣṭā­daśāveṇikā­buddha­dharmāḥ
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
སང་རྒྱས|buddha
སང་རྒྱས|buddha
སངས་རྒྱས|buddha
སངས་རྒྱས|buddha
རང་སངས་རྒྱས|pratyekabuddha
སངས་རྒྱས་ཀྱི་ཆོས|buddhadharmāḥ
སངས་རྒྱས་ཀྱི་ཞིང|buddha­kṣetra
