ཀུད|བཀུ ND.gives as the present of ཀུད.
འཕྱི|Present: དུས་ཚོད་སོགས LZ, CD, DK, DS, TC. \nPast: འཕྱིས LZ, CD, DK, DS, TC. འཕྱི CD.\nFuture: འཕྱི LZ, DK, DS, TC.\nImperative: ཕྱིས LZ.འཕྱིས DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཕྱི LZ.\nMeaning:To be late, to be belated, to come too late CD. To be late, to come later DK. For a certain time to pass DS. To be late, to be delayed TC.
འཕྱི་|Present: འབྱི (Gyurme 1992: 261).\nResultative of: འཕྱི (Gyurme 1992: 261).\nMeaning:To be effaced (Gyurme 1992: 261).
འཕྱིང|Present: ཕྱིངས DK, TC. འཕྱིངས DS. \nPast: འཕྱིང DK. འཕྱིངས DS, TC.\nFuture: ཕྱིང DK, DS.འཕྱིང TC. \nImperative: འཕྱིངས DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning:To intermingle, to become like felt DK. To be tangled DS. To be tangled, get stuck together TC.
འཕྱིད|Present: འབྱིད CD, DK, TC. \nPast: ཕྱིད DK, TC.\nFuture: འཕྱིད DK, TC.\nImperative: ཕྱིད DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nMeaning:To suffice, be enough CD. To spoil the eyes in snow DK. 1. To suffer in the limbs, or power of eyesight. 2. To finish, to carry through with TC.\nNote: Compare འཕྱིད.
འཕྱིད|འབྱིད CD, ND, (DS). give as the present of འཕྱིད 
འཕྱིད|འབྱིད ND. gives as the present of འཕྱིད 
འཕྱིལ|Present: འཕྱིལ CD. \nMeaning:To wind, to twist (Wdn.) (Ja) CD.
འཕྱུག|Present: འཆུག LZ, CD, DK, DS, TC. ཚེས་གྲངས་དང་ལམ་སོགས CD. \nPast: འཕྱུགས LZ, DK, DS, TC.\nFuture: འཕྱུག LZ, DK, DS, TC.\nImperative: འཕྱུགས LZ, DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: འཕྱུགས LZ.\nMeaning:1. To mistake, to be mistaken. 2. To miss CD. To mistake, to be mistaken DK. To make a mistake, to be confused DS. To make a mistake, blunder, go wrong TC.\nNote: Compare འཕྱུག.
འཕྱུར|Present: མཚོ་དང་དུ་བ་སོགས LZ, CD, DK, DS, TC. \nPast: ཕྱུརད LZ. འཕྱུར DK. འཕྱུར [DS], TC.\nFuture: ཕྱུར LZ, DK, [DS], TC.\nImperative: འཕྱུརད LZ, DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: འཕྱུར LZ.\nMeaning:1. To ascend, to mount, to rise up (of smoke), to overflow, inundate (of rivers, lakes &c.). 2. To heap up, to accumulate (Sch.) CD. To rise up, to overflow DK. To bubble up (clouds, smoke &c.) DS. To spread, diffuse, curl, swirl TC.
འཕྱེ|Present: ཁྲོ་བ་སོགས་ཀྱིས LZ, CD, DK, DS, TC. \nPast: འཕྱེ LZ, CD, DS, TC. འཕྱེ DK.\nFuture: ཕྱེས LZ, DK, DS, TC.\nImperative: འཕྱེས LZ. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nCharacteristic Example: འཕྱེ LZ.\nMeaning:To crawl, to creep, like snakes CD. To creep like a snake, to move on stomach close to the ground [sic] DK. To crawl, slither without feet DS. To go TC.
འཕྱོ|Present: འཕྱེ LZ, CD, ND, DK, DS, TC. \nPast: འཕོ LZ, CD, DS. བར་སྣང་སོགས་སུ ND, TC.འཕྱོས DK. \nFuture: འཕྱོ LZ, DK, DS, TC.\nImperative: འཕྱོ LZ. ཕྱོས DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nCharacteristic Example: འཕྱོ LZ.\nMeaning:1. To move, throb, be agitated. 2. To soar, to float in the air (Thgy.). 3. To flow forth, heave, smell (of fluids). 4. To range, roam about, gambol CD. To move, to wave, to throb DK. 1. To leap, surge upward. 2. For the mind to flitter about because of one condition. 3. To float, glide on the surface of water DS. 1. To fly, leap. 2.To raise up, jump. 3. For the mind to be unhappy TC.\nNote:(Beyer 1992: 83) suggests that this verb derives from འཕྱོས 'change place, shift' via palatalization. (Duff) suggests it is related to འཕྱོ 
འཕྱོང|Present: འཕྱོང CD, ND, DS. \nPast: འཕྱོང ND.\nMeaning:1. To protect. 2. To lay aside, abandon CD. (archaic) To protect, take care of DS.
འཕྱོད|Present: ཕྱོད DK. \nPast: ཕྱོད DK.\nFuture: ཕྱོད DK.\nImperative: འཕྱོད DK.\nMeaning:To cover up DK.
འཕྱོར|Present: མཆོར LZ, CD, TC. \nPast: རུ་མཚོན་སོགས LZ. འཕྱོར TC.\nFuture: འཕྱོརད LZ. འཕྱོར TC.\nImperative: འཕྱར LZ.འཕྱོར TC.\nVoluntary: TC.\nTransitive: DS.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: འཕྱརད LZ.\nMeaning:1. To rove. 2. To raise, brandish, feel, sense CD. To be rich, to adorn TC.\nNote:DS gives as an orthographic variant of the adjective འཕྱོར 'handsome'
འཕྲ|Present: འཕྲ CD, DS. \nPast: འཕྲས CD, DS.\nFuture: འཕྲ DS.\nImperative: - DS.\nInvoluntary: TC.\nTransitive: DS.\nMeaning:To kick, to strike with the foot, to struggle CD. To kick (of a horses and yaks) DS.
འཕྲག|Present: འཕྲག CD. \nMeaning:To stir up, to spur (a horse &c.) CD.
འཕྲངས|Present: འཕྲེང DK. \nPast: ཕྲངས DK.\nFuture: འཕྲང DK.\nImperative: ཕྲང DK.\nMeaning:To be anxious, to be attached, enthusiastic DK.\nNote: Compare འཕྲངས.
འཕྲད|Present: རྒྱུ་རྐྱེན་ཕན་ཚུན LZ, CD, ND, DK, DS. ཕྲད DS. འཕྲད CD.\nPast: ཕྲད LZ, CD, DK, DS, TC. འཕྲད ND.\nFuture: ཕྲད LZ, CD, DK, DS. ཕྲེད DS, TC.\nImperative: ཕྲད LZ, DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Ass.] (Hackett 2003).\nCharacteristic Example: འཕྲད LZ.\nMeaning:To interview, to meet together CD. To meet, to face DK. To assemble at one time DS. To meet TC.
འཕྲབ|Present: འཕྲབས CD, DK. \nPast: ཕྲབ DK.\nFuture: ཕྲབས DK.\nImperative: འཕྲབ DK.\nMeaning:To kick, struggle, dance CD. To beat, to harm DK.
འཕྲལ|Present: སོ་སོར KYN, LZ, DS. མཛའ་བོ་སོགས་སོ་སོར CD, DK, (DS). འབྲལ ND. ཕྲོལ TC. \nPast: ཕྲོལད KYN, CD, DK, DS, TC. ཕྲལ LZ, ND.\nFuture: འབྲལ KYN, LZ, CD, DK, DS. འཕྲལ ND. དབྲལ (ND). འཕྲལད TC.\nImperative: ཕྲལ KYN, LZ, ND. ཕྲལ CD, DK, DS, TC.\nVoluntary: KYN, CD, DS, TC, (Hoshi 2003).\nIntransitive: [CD], DS, TC.\nSyntax: [Abs? Ass.] CD. [Erg. Abs.] (Hackett 2003).\nCausative of: ཕྲེལ CD (Ja), (Chang 1971: vii.2), (Gyurme 1992: 261), (Duff).\nCharacteristic Example: འཕྲལ LZ. འབྲལ ND.\nMeaning:(with the word dang signifying 'from') To separate, part CD. To part, to separate, to keep apart, put apart DK. 1. To separate individually. 2. To pierce, tear. 3. To enter in order to separate (e.g. friends and enemies) DS. 1. To throw away, separate, make different. 2. To tear, rip TC.
འཕྲི|Present: ཉུང་ཕྱིར KYN ,(LZ,) (NDB).རྫས་སོགས་ཀྱི་ཁ་ནས LZ.འབྲི CD, DK, (DS), (TC). ཕྲི CD. ཕྲིས ND, DS, TC. \nPast: འབྲི KYNZ\nKYNCW has the reading bris., CD, TC, ND. དཔྲི LZ, DK, DS.\nFuture: དབྲི KYNZ, LZ, NDA, DK, DS, TC. ཕྲི CD. ཕྲིས NDB. \nImperative: འབྲིད KYNZ, (LZ) CD, ND, DK, DS, TC. ཕྲི LZ.\nVoluntary: CD, ND, DS, TC, (Hoshi 2003).\nTransitive: CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: འཕྲི (Chang 1971: vii.3).\nCharacteristic Example: བྲི LZ. འབྲི ND.\nMeaning:To diminish, take away from CD. To reduce, to make less, diminish DK. To subtract from a round number DS. To make fewer TC.
འཕྲིག|Present: འཕྲིགས CD, DK, TC. འཕྲིག DS. \nPast: ཕྲིག DK. འཕྲིགས [DS], TC.\nFuture: ཕྲིགས DK. འཕྲིགས [DS], TC.\nImperative: འཕྲིག DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nCharacteristic Example:\nMeaning:To doubt, be undecided about CD. To test, examine, to understand, to ascertain, to throb DK. 1. To know, to understand. 2. To doubt, be suspicious DS. 1. To examine with scrutiny. 2. To rise, move back and forth TC.
འཕྲུ|Present: འཕྲུས DK. \nPast: ཕྲུ DK.\nFuture: ཕྲུས DK.\nImperative: འཕྲུ DK.\nMeaning:To plough a fresh piece of land, to dig land for cultivation DK.
འཕྲུག|Present: འཕྲུགས CD, DS, TC. ཕྲུགས DK. \nPast: འཕྲུག CD.འཕྲུགས DK. ཕྲུག DS, TC.\nFuture: ཕྲུགས DK, DS, TC.\nImperative: འཕྲུགས DK, TC. འཕྲུག DS.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning:To scratch one's body CD. To itch DK. To rub, scratch the an itch on the body DS. To scratch TC.
འཕྲུལ|Present: ཡ་མ་ཟུང་དུ LZ, CD, DS, TC. \nPast: སྤྲུལ LZ. ཕྲུལད [DS].\nFuture: འཕྲུལ LZ, [DS].\nImperative: འཕྲུལ LZ.\nInvoluntary: (Hoshi 2003).\nIntransitive: DS.Transitive: TC.\nResultative of: འཕྲུལད CD.\nCharacteristic Example: འཕྲུལ LZ.\nMeaning:1. To appear to change, to transform one's self, to cause illusions, to alter an object by magic. 2. To be mistaken, err, to make blunders. 3. To separate, sort, discriminate (the good from the bad, truth from falsehood) (Ja) CD. For a false meaning to arise, manifest to mind or senses DS. To manifest magically, to move TC.
འཕྲེ|Present: འཕྲེས CD. \nPast: འཕྲེ CD.\nMeaning:To incline, to lean against, to put down, to lay down CD.
འཕྲེང|Present: སེམེས་ལ་ཀྱེ་མ་སྙམ་དུ LZ, CD, ND. ཕྲེངས DK. \nPast: འཕྲེང LZ. ཕྲེང ND, TC. འཕྲེང DK.\nFuture: འཕྲེངས LZ, DK, TC.\nImperative: འཕྲེངས LZ, DK. - TC.\nInvoluntary: TC.\nIntransitive: TC.\nCharacteristic Example: འཕྲེང LZ.\nMeaning:1. To fasten, be fastened to, be affixed to, be arranged (especially in a settled and orderly manner) CD. To be anxious, to be attached, enthusiastic DK. To think about a person or thing TC.
འཕྲོ|Present: འོད་ཟེར་སོགས LZ, CD, DK, DS, TC. སྤྲོ DK. \nPast: ཕྲོ LZ, CD, DS, TC. འཕྲོས DK.\nFuture: འཕྲོ LZ, DK, DS, TC.\nImperative: འཕྲོ LZ. ཕྲོ (LZ). འཕྲོས DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Abl.] CD. [Abs. Obl.] (Hackett 2003).\nResultative of: འཕྲོས CD, (Beyer 1992: 116), (Gyurme 1992: 260).\nCharacteristic Example: འཕྲོ LZ.\nMeaning:To proceed, issue, emanate from, to spread, diffuse CD. To emanate light and mind DK. 1. For light to shine. 2. For the mind or eyes to wander DS. 1. To radiate, shine. 2. To wander TC.
འཕྲོག|Present: རྒྱུ་ནོར KYT, TD, LZ, CD, ND, DK, DS, TC. གཞན་ནོར་སོགས CD (Rdo 46).\nPast: གཞན་གྱི་ནོར་སོགས KYT, ND, DS, TC. ཕྲོགས TD, LZ, CD (Rdo 46), DK.\nFuture: ཕྲོག KYT, CD. དབྲོག CD (Rdo 46). འཕྲོག TD, LZ, ND, DK, DS.\nImperative: དཕྲོག (Zeisler 2004: 349).ཕྲོག KYT, TD, LZ, CD, ND, DK, DS, TC.\nVoluntary: KYT, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: ཕྲོགས TD. དཕྲོག LZ. འཕྲོག ND.\nMeaning:To rob, run away with, to deprive of CD. To rub, to snatch, to grab, to attract DK. 1. For someone to take something by force which had not been given. 2. To take by force for oneself. 3. To bring to mind DS. To take, assemble by force TC.
འཕྲོད|Present: སྨན་སོགས་དང་ཕྱག་ཏུ LZ, CD, ND, DK, DS, TC. \nPast: སྤྲོད LZ, ND, [DS], TC. ཕྲོད CD, DK.\nFuture: འཕྲོད LZ, DK, [DS], TC.\nImperative: འཕྲོད LZ. ཕྲོད DK. - TC.\nInvoluntary: TC, (Tournadre & Dorje 2003: 306), (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003: 306). [Abs. Obl.] (Hackett 2003).\nResultative of: འཕྲོད (Beyer 1992: 116).\nCharacteristic Example: འཕྲོད LZ. \nMeaning:To be given, bestowed, offered, delivered CD. To receive, to be recognized, to be fit or suitable, to be benefited or helped by being suitable DK. For something give to arrive in hand. 2. To conform, to be appropriate. 3. To be mentally certain DS. 1. To receive something given, to obtain, receive in hand. 2. To be suitable, to be in harmony, to help. 3. (archaic) To gather, assemble TC.
བང|འབང DS, TC. give as a present to བང 
བད|Present: བད DS, TC. \nPast: བད [DS], TC.\nFuture: བད [DS], TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nMeaning:1. To be satisfied by food, sated, full. 2. To become drunk, intoxicated DS. 1. To be satisfied. 2. To become drunk, intoxicated TC.
བམ|Present: བམས DK, TC. \nPast: བམ DK. བམ TC.\nFuture: བམས DK, TC.\nImperative: བམ DK. - TC.\nInvoluntary: TC.\nIntransitive: DS.\nMeaning:To be mildewed DK. To rot TC.
བུད|Present: འབུད TC. \nPast: བུད TC.\nFuture: བུད TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003)\nResultative of: བུད (Chang 1971: vii.6), (Duff).\nMeaning:To come out, away TC.
བུར|Present: བུརད DK. \nPast: བུར DK.\nFuture: བུརད DK.\nImperative: བུར DK.\nMeaning:To be dislocated, to become crooked DK.
བུལ|Present: བུལད DK. \nPast: བུལ DK.\nFuture: བུལད DK.\nImperative: བུལ DK.\nMeaning:To become slow, to be slow DK.
བེམ|Present: བེམ DS. \nPast: བེམ [DS].\nFuture: བེམ [DS].\nIntransitive: DS.\nMeaning:To become numb DS.
བེལ|Note:(Denwood 1991: 136) suggests the following forms འཕེའུ , ཕེའུ , སྤེལ , འཕེལ , འབེལ , བེལ , with the meanings 'declare, make known, publicize, expose, accuse.' 
བོ|འབོ CD. gives as the present of བོ.
བོན|Present: བོད LZ, CD. བོན DK.\nPast: ལྷའི་སྔགས་སོགས LZ, DK.\nFuture: འབོནད LZ, DK.\nImperative: བོན LZ. བོན DK.\nCharacteristic Example: བོནད LZ.\nMeaning:(archaic) To express, to mutter CD. 1. To ask (a god, sovereign). 2. To give, offer (to a god, sovereign). 3. (for a god, sovereign) To receive, obtain, take. 4. (probable) to murmur, recite (charms, prayers). 5. (probable) To invoke, summon, call (Uray 1964). To express, recite, mutter DK.\nNote:very likely related to the noun འབོན , and (Lalou 1953) suggests also a comparison with བོན 'tibet'
བོར|Present: འབོར DS, TC. \nPast: བོར [DS], TC.\nFuture: བོར [DS], TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nResultative of: བོར (Duff).\nMeaning:1. For something to become lost 2. To wane, disappear, throw away. 3. To say, do DS. To lose TC.
བྱང|Present: བྱང DS. \nPast: བྱང [DS].\nFuture: བྱང [DS].\nIntransitive: DS.\nMeaning:1. For experience to be great. 2. To make something soft, smooth through wiping, touching DS.
བྱབ|Present: འབྱབས CD, DS, TC. བྱོབས DK.\nPast: བྱབ CD, DK, DS, TC.\nFuture: བྱབས DK, DS,TC.\nImperative: འབྱབ DS, TC. བྱབ DK.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nMeaning:1. To cleanse, wash, wipe. 2. To seize, clutch CD. To haul down, to remove filthy matters, to wash, clean DK. To rub, sweep DS. To sweep, clear away, wipe TC.
བྱམས|Present: བུ་གཅེ་སོགས་ལ LZ, DS, TC. \nPast: བྱམས LZ, [DS], TC.\nFuture: བྱམས LZ, [DS], TC.\nImperative: བྱམས LZ. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: བྱམས LZ.\nMeaning:The opposite of dislike, to be near at heart DS. 1. To want another to have happiness. 2. For clothes to fit, be comfortable on the body TC.
བྱི|འབྱི TC. gives as the present of བྱི 
བྱིང|སྤྱིང ND. gives as the present of འབྱིང or བྱིང 
བྱིབ|Present: བྱིབས CD. འབྱིབ (CD), DK, (DS). བྱིབས DS. \nPast: བྱིབ CD, DK, [DS].འབྱིབ [(DS)].\nFuture: བྱིབས DK.བྱིབས [DS].འབྱིབ [(DS)].\nImperative: བྱིབ DK.\nTransitive: DS.\nMeaning:[To cover] CD. To encase, cover DS. To be covered up, to spread over, to spread, to smudge with ink, to cause to spread over, to wrap in DK.
བྱིལ|Present: བྱིལ CD, DS. \nPast: བྱིལ [DS].\nFuture: བྱིལ [DS].\nTransitive: DS.\nMeaning:To rub, spread (unguent, salve) DS.
བྱུག|འབྱུག LZ, ND, CD. gives as the present of བྱུག 
བྱུང|Auxiliary: འབྱུང DS. \nFunction:Suffixed to the past tense of a verb meaning 'to make, do' DS.\nNote:from the verb བྱུང. NWH.
བྱེད|Present: ལས CD, ND, DK, DS, TC. \nPast: བྱེད CD, ND, DK, DS, TC.\nFuture: བྱོས CD, ND, DK, DS, TC.\nImperative: བྱོ (Zeisler 2004: 348).བྱ CD, ND, DS, TC. བྱས (CD), DK.\nVoluntary: CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003)\nCharacteristic Example: བྱེད ND.\nMeaning:To do, to make CD. To do, work DK. 1. To do, work. 2. To replace, substitute, take responsibility for DS. To do the work of mind, speech, or body TC.
བྱེར|Present: སོ་སོར CD, ND. \nPast: བྱེརད ND.\nFuture: འབྱེར ND.\nImperative: བྱེརད ND.\nCharacteristic Example: བྱེར ND.\nMeaning:To separate, disintegrate, destroy CD.
བྱོ|Present: བྱོར CD.\nMeaning:To hear, listen to CD.
བྲ|Present: བྲ CD. \nMeaning: To have great plenty, be in great plenty CD.\nNote: Root given as bra < *mra (Beyer 1992: 86).
བྲ|Auxiliary: བྲ DS.\nFunction: To be able, to withstand, endure DS.
བྲན|Present: ཆབ་སོགས LZ, CD, DK, TC. བྲོན DS.\nPast: བྲནད LZ, DK. བྲན DS, TC.\nFuture: བྲན LZ, DK, DS, TC.\nImperative: བྲན LZ. བྲནད DK. འབྲན DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nCharacteristic Example: བྲན LZ.\nMeaning:To saturate with water, to moisten CD. 1. To pour water. 2. To strew DK. To make wet by pouring water something on it DS. 1. To scatter, disperse. 2. To give, provide TC.
བྲབ|འབྲབ LZ. gives as the present of བྲབ 
བྲི|འབྲི ND. give as the present of བྲི 
བྲི|འབྲི DS. gives as the present of བྲི 
བྲིན|Present: རིན DK, DS, TC. \nPast: བྲིནད DK. བྲིན [DS], TC.\nFuture: བྲིན DK, [DS], TC.\nImperative: བྲིནད DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nDenominative of: བྲིན 'price, value' NWH.\nMeaning:To be sold, to be demanded DK. To take money, for buyers to be plentiful DS. To sell, market TC.
བྲིམ|འབྲིམ ND. gives as the present of བྲིམ.
བྲུག|Present: བྲུགས CD, DK, DS, TC. \nPast: བྲུག DK. བྲུག [DS], TC.\nFuture: བྲུགས DK, [DS], TC.\nImperative: བྲུག DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning:To flow, to stream out, to gush forth CD. To be increased, to be full, to be filled with DK. For water to suddenly rise DS. For water to naturally increase, fill TC.
བྲུབ|འབྲུབ ND. gives as the present of བྲུབ 
བྲུབ|འབྲུབ DS. gives as the present of བྲུབ 
བྲུལ|འབྲུལ DS. gives as the present of བྲུལ 
བྲེ|Present: བྲེས DS, TC. \nPast: བྲེ DS, TC.\nFuture: བྲེས DS, TC.\nImperative: བྲེ DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003)\nMeaning:To stretch out (a canopy &c.) across the top of something DS. To spread, lay out, cover, adorn, connect together TC.
བྲེད|Present: བྲེད CD, TC. \nPast: བྲེད TC.\nFuture: བྲེད TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning:To be alarmed, depressed at heart, to be dejected, to be ashamed CD. To fear, be afraid of TC.
བྲེལ|Present: བྱ་ལས CD, ND, DK, DS, TC. \nPast: བྱ་བས ND, DK. བྲེལད [DS], TC.\nFuture: བྲེལ ND, DK, [DS], TC.\nImperative: - ND, TC. བྲེལ NDA, DK.\nInvoluntary: ND, TC. Voluntary: NDA.\nIntransitive: DS, TC.\nCharacteristic Example: བྲེལད ND. བྲེལ NDA. \nMeaning:To be busy, engaged, to have business CD. To be busy with, to hurry, hasten DK. [To be busy] DS. To be occupied, busy TC.
བྲོ|Present: རོ CD, DK, DS, TC. \nPast: བྲོ DK, [DS], TC.\nFuture: བྲོ DK, [DS], TC.\nImperative: བྲོ DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Obl. Abs.] (Hackett 2003)\nDenominative of: བྲོ 'taste' (Hahn 1973: 440).\nMeaning:1. To swear, take an oath. 2. To taste, to get enjoyment of. 3. (in Center) To desire, to wish CD. To taste, experience in a taste DK. 1. To have direct experience, mentally appear. 2. To experience with the nose or tongue DS. 1. To desire. 2. To arise, experience TC.\nNote:(Hahn 1973: 440) suggests that the ro 'taste' < *bro, i.e. the b- is indeed part of the root.
བྲོད|Present: བྲོད DS. \nPast: བྲོད [DS].\nFuture: བྲོད [DS].\nIntransitive: DS.\nMeaning:To be joyful, to enjoy DS.
བླག|Present: རྣ་བ LZ, CD, DK, TC. རྣ DS.\nPast: རྣ་བ་སོགས LZ, CD, DK, DS, TC.\nFuture: བློགས LZ, DK, DS, TC.\nImperative: བླགས LZ, DK. བླག DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nCharacteristic Example: བླགས LZ.\nMeaning:1. To attend to, to hearken to, to lean toward, to permit. 2. To shed tears (Ja) CD. (only used with བློག or བླག ) To incline one's ear to, to listen to (de Jong 1973). To give, lend one's ear; to listen to DK. 1. To hear by mentally concentrating, lending one's ear. 2. To cry DS. 1. To lend one's ear to a saying, listen. 2. To give off, shed TC.
བླད|Present: ལྡད CD, DK, DS, TC. \nPast: བློད DK, TC.\nFuture: བླད DK, TC.\nImperative: བླད DK. བླད TC.\nVoluntary: TC.\nTransitive: DS, TC.\nMeaning:To chew CD. To chew cud, to chew DK. (archaic) To chew DS. To chew, grind, suck on TC.\nNote: Compare བླད.
བླས|Present: སླ DS. \nPast: བླས [DS].\nFuture: བླས [DS].\nTransitive: DS.\nMeaning:(for a soft, thin thing) To connect by plaiting together many strands DS.\nNote: Compare བླས.
བླུ|Present: གླུད LZ, CD, DK, DS, TC. \nPast: སྲོག་སོགས LZ, CD, DK, DS, TC.\nFuture: བླུས LZ, DK, DS, TC.\nImperative: བླུ LZ, DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: བླུས LZ.\nMeaning:To ransom, redeem (a pawn, pledge, or security) CD. To buy back, redeem; to redeem [the] life of a man, animal by paying some money; to ransom DK. (honorific) To buy DS. To buy something previously relied upon, (particularly) to buy for a religious purpose TC.\nNote: Compare the noun བླུ 'ransom'. 
བླུག|ལྡུག CD, DK, TC. give as the present of བླུག.
བླུད|ལྡུད LZ, CD, DK, TC. give as the present of བླུད 
བློང|Present: བློངས DK. \nPast: བློང DK.\nFuture: བློངས DK.\nImperative: བློང DK.\nMeaning:1. To become nervous, to be mentally unsettled, to be uneasy. 2. To get bored, become dull DK.
བློད|Present༼?༽༔་བློད (Denwood 1991: 136). \nMeaning:To counsel, discuss, place (Denwood 1991: 136).
བློན|Present: གླན LZ, DS. གཡང་སོགས་ནང་དུ TC.\nPast: བློནད LZ.\nFuture: བླན LZ.\nImperative: བླནད LZ.\nCharacteristic Example: བླན LZ.\nMeaning:(archaic) To advise DS. 1. To face inward, to send hither, to lead. 2. To support, establish, help TC.\nNote: Compare བློན (?) NWH.
དབང|Present: ཡུལ་འཁོར་སོགས་ལ LZ, ND, DK, DS, TC. \nPast: དབང LZ, ND, DK, [DS], TC. \nFuture: དབང LZ, DK, [DS], TC. \nImperative: དབང LZ, DK. - TC. \nInvoluntary: TC. Voluntary: (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCharacteristic Example: དབང LZ.\nMeaning:To own, to belong, to have a right DK. To lay out, arrange, place, assemble, to use, to be available for use DS. To own, to have, to be able TC.
དབུར|Present: ཡུར LZ, CD, DS, TC. \nPast: འུར LZ. དབྱིག་སོགས་ཀྱིས TC.\nFuture: དབུར LZ, TC.\nImperative: དབུར LZ, TC.\nVoluntary: TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: དབུར LZ.\nMeaning:(also དབུརད and དབུར ) To smooth (Ja) CD. To rub, scrape DS. 1. To crush finely. 2. To smooth, level TC.
དབུལ|Present: འབྱོརད་པ་སོགས་ཀྱིས LZ, DS, TC. \nPast: དབུལད LZ. དབུལ [DS], TC. \nFuture: དབུལ LZ, [DS], TC. \nImperative: དབུལད LZ.- TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Instr.] (Hackett 2003).\nCharacteristic Example: དབུལ LZ.\nMeaning:1. To be bereft of wealth. 2. To have few or no good qualities &c. DS. To be destitute, bereft of wealth TC.
དབེན|Present: དབེན LZ, DK, DS, TC. \nPast: དབྱེན LZ, DK. འདུ་འཛི་སོགས་ལས [DS], TC.\nFuture: དབེནད LZ, DK, [DS], TC.\nImperative: དབེན LZ. དབེན DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Instr.] (Hackett 2003).\nCharacteristic Example: དབེན LZ.\nMeaning:To become empty, to be empty, to be without DK. To lack, to have few DS. To be empty, to lack TC.\nNote:(Beyer 1992: 84 n. 15) suggests that དབེནད 'difference, schism, discord' derives from དབེན 'solitude, loneliness, separation' via palatalization.
དབོག|འབོག LZ. gives as the present དབོག 
དབོལ|Present: དབོལད CD, DK. \nPast: དབོལ DK.\nFuture: དབོལད DK.\nImperative: དབོལ DK.\nMeaning:To draw up water from a tank CD. To discharge water from a pond, to let out water through a hole of a pond, to pierce DK.
དབོས|Present: སྦོས DS. \nPast: ལྦོས [DS].\nFuture: འབོ [DS].\nIntransitive: DS.\nMeaning:To become larger in size DS.\nNote: Compare དབོས , དབོས , and དབོས.
དབྱིན|Present: དབྱིན CD. \nMeaning:To incite, instigate, set on CD.
